signal,periods,mean_coef,hac_t_stat,avg_n,family
book_to_market,31,-0.004507396060858033,-0.07704639519467081,50.96774193548387,value
cashflow_price,31,0.08103221507351946,5.292308226302816,50.96774193548387,value
dividend_yield,31,-0.07563278498633451,-2.2046510371495884,50.96774193548387,value
earnings_yield,31,-0.05548193012112646,-1.5155237102138104,50.96774193548387,value
ebitda_ev_yield,31,-0.00026491610082120297,-0.012251912383527264,50.96774193548387,value
sales_price,31,0.04565230816262567,1.9857826827002512,50.96774193548387,value
accrual_quality,31,0.02051491569539294,1.1397535474491254,45.58064516129032,profitability_quality
gross_profitability,31,-0.055314008198561845,-3.0479785032066227,45.58064516129032,profitability_quality
operating_profitability_approx,31,0.026300612850756307,1.613601284448538,45.58064516129032,profitability_quality
piotroski_lite,31,-0.010536215865426503,-0.4949571272949275,45.58064516129032,profitability_quality
roa_standalone,31,0.015990929935513664,0.41947182755645757,45.58064516129032,profitability_quality
roe_standalone,31,-0.06031402164597978,-1.7192499632817984,45.58064516129032,profitability_quality
conservative_investment,44,0.019520831316227998,1.9057932531347295,48.70454545454545,investment
beta_high,40,0.10189599955258315,1.3827734475980504,44.8,risk
beta_low,40,-0.10189599955258521,-1.382773447598075,44.8,risk
low_idio_volatility,40,-0.3347271399693874,-0.4445177305238236,44.8,risk
low_total_volatility,40,0.44639820770663247,0.5271424500386915,44.8,risk
small_size,40,0.06771626907363582,3.8311703807818667,44.8,risk
momentum_12_1,56,0.04224319634187242,1.174196113070899,28.125,market_behavior
momentum_6_1,56,-0.012239991452235541,-0.29818972190319065,28.125,market_behavior
short_reversal,56,-0.019858107130026472,-1.4199463347076575,28.125,market_behavior
