sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,base_signal
orthogonalized,earnings_yield__net_bm,Net income / market cap; negative earnings retained; orthogonalized to B/M,1m,49,2520,0.04303206133804855,0.04895104895104895,0.18251529351431578,0.5714285714285714,1.753605270023003,0.0794981673885049,earnings_yield
orthogonalized,earnings_yield__net_bm,Net income / market cap; negative earnings retained; orthogonalized to B/M,3m,47,2380,0.021269211756899754,0.02727272727272728,0.17458659854258243,0.574468085106383,0.7439537099802979,0.4569044801380757,earnings_yield
orthogonalized,earnings_yield__net_bm,Net income / market cap; negative earnings retained; orthogonalized to B/M,6m,44,2170,-0.027727380903856166,-0.04306557450744518,0.16375519512537534,0.45454545454545453,-1.050349896390876,0.2935572724398372,earnings_yield
orthogonalized,earnings_yield__net_bm,Net income / market cap; negative earnings retained; orthogonalized to B/M,12m,38,1761,-0.02644854886455492,-0.06443650817936568,0.1556686950322905,0.2894736842105263,-0.4620750235153729,0.6440275205857193,earnings_yield
orthogonalized,earnings_yield__net_bm_size_liq,Net income / market cap; negative earnings retained; orthogonalized to B/M+size+liquidity,1m,38,2386,0.03948224811680474,0.014762489270164745,0.12389339797119407,0.5526315789473685,2.0187732241851752,0.04351079526497381,earnings_yield
orthogonalized,earnings_yield__net_bm_size_liq,Net income / market cap; negative earnings retained; orthogonalized to B/M+size+liquidity,3m,36,2246,0.003694792817792692,-0.002198761309607185,0.13625296530436007,0.4722222222222222,0.15100977356431255,0.8799680061259956,earnings_yield
orthogonalized,earnings_yield__net_bm_size_liq,Net income / market cap; negative earnings retained; orthogonalized to B/M+size+liquidity,6m,33,2036,-0.043539795927690514,-0.05008795988017404,0.12114455421693046,0.36363636363636365,-1.9042006769061437,0.056884053615546826,earnings_yield
orthogonalized,earnings_yield__net_bm_size_liq,Net income / market cap; negative earnings retained; orthogonalized to B/M+size+liquidity,12m,27,1627,-0.07608019061113944,-0.09090909090909093,0.07866367803180468,0.18518518518518517,-6.307295025638494,2.8395419349180884e-10,earnings_yield
orthogonalized,dividend_yield__net_bm,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M,1m,49,2337,0.0006508270002838444,0.012952451398610988,0.23917442437761258,0.5306122448979592,0.021762809559568563,0.9826371608278452,dividend_yield
orthogonalized,dividend_yield__net_bm,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M,3m,47,2205,0.00997235399406364,-0.0030976490016310977,0.2115906721864919,0.48936170212765956,0.2315303305643681,0.8169028250938957,dividend_yield
orthogonalized,dividend_yield__net_bm,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M,6m,44,2007,-0.026837391726182803,-0.03335599297433231,0.235752579019179,0.38636363636363635,-0.45696819955331425,0.6476939028306861,dividend_yield
orthogonalized,dividend_yield__net_bm,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M,12m,38,1623,-0.04816506740412851,-0.11433061997671325,0.1715672889532687,0.3157894736842105,-0.7983288670459994,0.4246796704187159,dividend_yield
orthogonalized,dividend_yield__net_bm_size_liq,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M+size+liquidity,1m,36,2192,0.010636303967465541,0.026941390627129694,0.15938144663405954,0.6111111111111112,0.3856279419917887,0.6997722361956549,dividend_yield
orthogonalized,dividend_yield__net_bm_size_liq,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M+size+liquidity,3m,34,2060,-0.008938275955734482,-0.02753542650736316,0.18121602895564626,0.4117647058823529,-0.20913074724928082,0.8343461725265293,dividend_yield
orthogonalized,dividend_yield__net_bm_size_liq,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M+size+liquidity,6m,31,1862,-0.05605493687142185,-0.04543545309770703,0.1472012559472623,0.3548387096774194,-1.2531447269524556,0.21015304110390343,dividend_yield
orthogonalized,dividend_yield__net_bm_size_liq,Dividends / market cap; fallback stored Dividend_Yield; orthogonalized to B/M+size+liquidity,12m,25,1478,-0.09629492262938527,-0.10951019630264912,0.09765414765667255,0.12,-3.1677808152872955,0.001536072816148648,dividend_yield
orthogonalized,cashflow_price__net_bm,Operating cash flow / market cap; orthogonalized to B/M,1m,49,2484,0.022303500075589414,0.0520796959050573,0.19556502202138434,0.6122448979591837,0.7598832076210926,0.4473244000119878,cashflow_price
orthogonalized,cashflow_price__net_bm,Operating cash flow / market cap; orthogonalized to B/M,3m,47,2346,0.049123407271115034,0.08181818181818183,0.21756504306013946,0.6808510638297872,1.2028122487091943,0.2290489837642138,cashflow_price
