sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,fdr_qvalue,fdr_reject_10pct,top_bottom_spread,net_sharpe,max_drawdown,turnover,observations,dates,symbols,avg_names_per_date,bottom_return,middle_return,top_return,monotonic,group
native,book_to_market,Book equity / market cap,6m,56,2254,0.16381627381195868,0.17434947989641633,0.24190870590082023,0.7678571428571429,2.813393942729675,0.004902155411248277,0.03758319148623679,True,0.10342879693918663,0.7590861771004164,-0.8643864551752456,0.06854199818626695,2749,63,70,43.63492063492063,0.09035103333550255,0.096909533995736,0.1923226190826792,True,value
native,cashflow_price,Operating cash flow / market cap,6m,44,2139,0.14666361763278035,0.1328596541524757,0.13790984292511702,0.8863636363636364,5.814384698632164,6.085731474314571e-09,1.3997182390923513e-07,True,0.10353159248471439,1.0634068182849408,-0.6233296792698355,0.09881253887852127,2627,51,69,51.509803921568626,0.11679800277625246,0.05723462238686714,0.20445229991052374,False,value
native,low_leverage,-debt/assets,6m,70,2379,0.1159691572585398,0.09381491847663487,0.3081727081292121,0.6714285714285714,2.0400302471020066,0.04134731320841678,0.2377470509483965,False,-0.01973433829714237,-0.21672405284325216,-0.9215122527707363,0.08876241384146523,2881,77,71,37.41558441558441,0.10373043989182555,0.1873236511212961,0.08431003120226242,False,distress
native,small_size,-log(MarketCap),6m,56,2290,0.0839288745610408,0.10870986136379127,0.28779448600573526,0.6428571428571429,1.301348371323795,0.1931392371198557,0.5552753067195851,False,0.1557151738000089,1.079390045759926,-0.6192344117223444,0.05316558441558442,2785,63,70,44.20634920634921,0.029357229863216507,0.0826106679064755,0.19554545857197883,True,risk_size
native,beta_high,market beta over 252 days,6m,64,2073,0.07864814242188058,0.12495373545603111,0.3741500433084128,0.65625,0.8596429370270163,0.38998589886411206,0.7445434728195034,False,0.07733735797030314,0.45133532655019165,-0.9375815973195959,0.23137090205868316,2561,71,69,36.070422535211264,0.10691346168680713,0.08818454261309368,0.17673760063678773,False,risk_size
native,momentum_12_1,prior 252 trading-day return skipping 21 days,6m,57,1651,0.07512185386764333,0.0014819660258918862,0.4430896806330308,0.5087719298245614,0.6581966508199081,0.5104117766339349,0.7445434728195034,False,0.1436050802523182,0.5966821980203585,-0.9151917455580408,0.367084796718664,2132,64,68,33.3125,0.08655318771098369,0.08945321983327191,0.2190883780009088,True,market_behavior
native,earnings_yield,Net income / market cap; negative earnings retained,6m,56,2266,0.06740777284059245,0.06133214961834359,0.24347273570477226,0.6071428571428571,1.087781925118282,0.276691390726695,0.7071002207459984,False,-0.0740546472651219,-0.6437521469523365,-0.9885981036085377,0.10095587536810106,2761,63,70,43.82539682539682,0.18855510111707308,0.07586829415806816,0.11283398126981674,False,value
native,ebitda_ev_yield,EBITDA / enterprise value,6m,70,2094,0.051296340560207945,0.030966976504127622,0.32068709301723836,0.5857142857142857,0.6542385358691871,0.5129581379370232,0.7445434728195034,False,-0.046428162779888614,-0.5922183008011006,-0.9403737171988317,0.10188829962077307,2559,77,69,33.23376623376623,0.15121480742453308,0.1520550070267883,0.10797810649253611,False,value
native,sales_price,Revenue / market cap,6m,56,2266,0.05104415138550063,0.07766318495518776,0.24711068702931596,0.625,0.7970362298817676,0.4254299902984544,0.7445434728195034,False,0.15026242235863674,1.444699468971298,-0.25089853439785625,0.07605371900826446,2761,63,70,43.82539682539682,0.05872054301910574,0.13031515091996904,0.19271771490055511,True,value
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,56,2091,0.03950335524285147,-0.05241795689859226,0.3016725390505582,0.42857142857142855,0.47335152050133145,0.6359624109731243,0.7445434728195034,False,-0.08910456570008332,-0.8120092953191211,-0.9956478537864896,0.11234970380227298,2558,63,66,40.6031746031746,0.1614699480836583,0.09209284298818932,0.0710452718706261,False,value
