publication_date,n_documents
2026-06-04,196
2026-06-05,136
2026-06-03,70
2023-04-28,67
2025-09-30,40
2026-04-30,39
2024-09-30,39
2023-06-05,35
2023-02-28,35
2026-02-27,34
2024-02-29,33
2024-04-30,33
2025-02-28,33
2022-02-28,31
2023-09-27,30
2025-04-30,28
2023-08-31,28
2022-11-30,27
2022-09-30,26
2021-10-04,26
2022-08-31,26
2023-11-30,26
2025-05-30,24
2022-04-29,24
2020-08-31,24
2022-05-31,24
2024-08-30,24
2025-11-28,23
2024-05-31,22
2021-08-31,22
