date,action,symbol,vintage_formed,weight
2023-04-30,BUY,ADH,2023-04-30,0.011111111111111112
2023-04-30,BUY,ADI,2023-04-30,0.011111111111111112
2023-04-30,BUY,AKT,2023-04-30,0.011111111111111112
2023-04-30,BUY,ARD,2023-04-30,0.011111111111111112
2023-04-30,BUY,CTM,2023-04-30,0.011111111111111112
2023-04-30,BUY,IMO,2023-04-30,0.011111111111111112
2023-04-30,BUY,JET,2023-04-30,0.011111111111111112
2023-04-30,BUY,MOX,2023-04-30,0.011111111111111112
2023-04-30,BUY,RDS,2023-04-30,0.011111111111111112
2023-04-30,BUY,REB,2023-04-30,0.011111111111111112
2023-04-30,BUY,RIS,2023-04-30,0.011111111111111112
2023-04-30,BUY,S2M,2023-04-30,0.011111111111111112
2023-04-30,BUY,SID,2023-04-30,0.011111111111111112
2023-04-30,BUY,SMI,2023-04-30,0.011111111111111112
2023-04-30,BUY,SRM,2023-04-30,0.011111111111111112
2023-05-31,BUY,ADH,2023-05-31,0.011111111111111112
2023-05-31,BUY,ADI,2023-05-31,0.011111111111111112
2023-05-31,BUY,AKT,2023-05-31,0.011111111111111112
2023-05-31,BUY,ARD,2023-05-31,0.011111111111111112
2023-05-31,BUY,CTM,2023-05-31,0.011111111111111112
2023-05-31,BUY,IMO,2023-05-31,0.011111111111111112
2023-05-31,BUY,JET,2023-05-31,0.011111111111111112
2023-05-31,BUY,MOX,2023-05-31,0.011111111111111112
2023-05-31,BUY,RDS,2023-05-31,0.011111111111111112
2023-05-31,BUY,REB,2023-05-31,0.011111111111111112
2023-05-31,BUY,RIS,2023-05-31,0.011111111111111112
2023-05-31,BUY,S2M,2023-05-31,0.011111111111111112
2023-05-31,BUY,SID,2023-05-31,0.011111111111111112
2023-05-31,BUY,SMI,2023-05-31,0.011111111111111112
2023-05-31,BUY,SRM,2023-05-31,0.011111111111111112
2023-06-30,BUY,ADH,2023-06-30,0.011111111111111112
2023-06-30,BUY,ADI,2023-06-30,0.011111111111111112
2023-06-30,BUY,AKT,2023-06-30,0.011111111111111112
2023-06-30,BUY,ARD,2023-06-30,0.011111111111111112
2023-06-30,BUY,CTM,2023-06-30,0.011111111111111112
2023-06-30,BUY,IMO,2023-06-30,0.011111111111111112
2023-06-30,BUY,JET,2023-06-30,0.011111111111111112
2023-06-30,BUY,MOX,2023-06-30,0.011111111111111112
2023-06-30,BUY,RDS,2023-06-30,0.011111111111111112
2023-06-30,BUY,REB,2023-06-30,0.011111111111111112
2023-06-30,BUY,RIS,2023-06-30,0.011111111111111112
2023-06-30,BUY,S2M,2023-06-30,0.011111111111111112
2023-06-30,BUY,SID,2023-06-30,0.011111111111111112
2023-06-30,BUY,SMI,2023-06-30,0.011111111111111112
2023-06-30,BUY,SRM,2023-06-30,0.011111111111111112
2023-07-31,BUY,ADH,2023-07-31,0.011111111111111112
2023-07-31,BUY,ADI,2023-07-31,0.011111111111111112
2023-07-31,BUY,AKT,2023-07-31,0.011111111111111112
2023-07-31,BUY,ARD,2023-07-31,0.011111111111111112
2023-07-31,BUY,CTM,2023-07-31,0.011111111111111112
2023-07-31,BUY,IMO,2023-07-31,0.011111111111111112
2023-07-31,BUY,JET,2023-07-31,0.011111111111111112
2023-07-31,BUY,MOX,2023-07-31,0.011111111111111112
2023-07-31,BUY,RDS,2023-07-31,0.011111111111111112
2023-07-31,BUY,REB,2023-07-31,0.011111111111111112
2023-07-31,BUY,RIS,2023-07-31,0.011111111111111112
2023-07-31,BUY,S2M,2023-07-31,0.011111111111111112
2023-07-31,BUY,SID,2023-07-31,0.011111111111111112
2023-07-31,BUY,SMI,2023-07-31,0.011111111111111112
2023-07-31,BUY,SRM,2023-07-31,0.011111111111111112
2023-08-31,BUY,ADH,2023-08-31,0.011111111111111112
2023-08-31,BUY,ADI,2023-08-31,0.011111111111111112
2023-08-31,BUY,AKT,2023-08-31,0.011111111111111112
2023-08-31,BUY,ARD,2023-08-31,0.011111111111111112
2023-08-31,BUY,CTM,2023-08-31,0.011111111111111112
2023-08-31,BUY,IMO,2023-08-31,0.011111111111111112
2023-08-31,BUY,JET,2023-08-31,0.011111111111111112
2023-08-31,BUY,MOX,2023-08-31,0.011111111111111112
2023-08-31,BUY,RDS,2023-08-31,0.011111111111111112
2023-08-31,BUY,REB,2023-08-31,0.011111111111111112
2023-08-31,BUY,RIS,2023-08-31,0.011111111111111112
2023-08-31,BUY,S2M,2023-08-31,0.011111111111111112
2023-08-31,BUY,SID,2023-08-31,0.011111111111111112
2023-08-31,BUY,SMI,2023-08-31,0.011111111111111112
