,periods,cumulative_return,annualized_vol,sharpe,max_drawdown,hit_rate,best_month,worst_month,avg_turnover,cagr,excess_return_mean,tracking_error,information_ratio,beta,benchmark_periods
S1_bm,111.0,2.2017008083814553,0.1287557055891869,1.0426907589213394,-0.13901244602814533,0.2702702702702703,0.1535196255743089,-0.07004382848462017,0.016146016146016146,0.13405927875139056,0.015265302797317729,0.1497707804801636,1.2230932694650312,0.8005798981831872,35.0
S2_cfp,111.0,3.0939761006698774,0.14527009570424823,1.1225426221124706,-0.1531104058571151,0.27927927927927926,0.20817617218632475,-0.0844859163774714,0.02249124124124124,0.16460290907133013,0.023183765526876406,0.16815018540753496,1.6545041900979687,1.2416895536467485,35.0
S3_composite,111.0,1.912671386387573,0.12412575935637195,0.9922490474830267,-0.11466369115565223,0.25225225225225223,0.2245244781636238,-0.07715890407206853,0.015885002649708532,0.12251893235449307,0.017169665805327194,0.1428661142014799,1.4421613607643853,1.1537151944622142,35.0
S4_sleeves,111.0,2.6470216348077957,0.13062078488433354,1.1381200120099677,-0.14432997867098896,0.2702702702702703,0.16529035699640543,-0.07095325591183456,0.019318628693628694,0.15013836601174435,0.019224534162097066,0.14618939326121352,1.5780516274047076,1.0211347259149677,35.0
MASI_benchmark,35.0,0.6299964493229027,0.1264529985736678,1.3944068052022727,-0.14432123084313841,0.5714285714285714,0.0998432512164873,-0.05402335174857642,0.0,0.18235995263576954,,,,,
S1_bm_semiannual,19.0,3.0624503974892017,0.345562298214395,0.5577846670092192,-0.10322504246727171,0.3157894736842105,0.9219933823170229,-0.10322504246727163,0.11984506721348827,0.15899871611360106,,,,,
S2_cfp_semiannual,19.0,3.1948203836531626,0.2646959194577561,0.6924613864360759,-0.09151770511508195,0.2631578947368421,0.540064984203362,-0.09151770511508193,0.17608359133126936,0.16291715127624862,,,,,
S3_composite_semiannual,19.0,1.426191811529626,0.18480725356095984,0.5890048534735918,-0.06018364405070653,0.21052631578947367,0.44142684551431904,-0.06018364405070655,0.1186016511867905,0.09778788839308761,,,,,
