signal,periods,mean_coef,hac_t_stat,avg_n,family
book_to_market,31,0.11494258024492475,3.1254483828943966,36.03225806451613,value
cashflow_price,31,0.05905588851451466,1.6701563717348384,36.03225806451613,value
dividend_yield,31,-0.00396598202136675,-0.12343427961677865,36.03225806451613,value
earnings_yield,31,-0.025517790928480173,-0.5101625435731854,36.03225806451613,value
ebitda_ev_yield,31,0.03806493280034897,2.6490844617193527,36.03225806451613,value
sales_price,31,0.03746331025886707,0.8634630422874934,36.03225806451613,value
accrual_quality,31,0.016476786170441217,0.9549180627686434,44.61290322580645,profitability_quality
gross_profitability,31,-0.03420545709293214,-1.633882649591328,44.61290322580645,profitability_quality
operating_profitability_approx,31,0.011815571769812443,1.0307205027819661,44.61290322580645,profitability_quality
piotroski_lite,31,0.002104981570932156,0.10410865430094078,44.61290322580645,profitability_quality
roa_standalone,31,-0.004539982971043274,-0.11437830363896875,44.61290322580645,profitability_quality
roe_standalone,31,-0.043960125988385064,-1.292412172058411,44.61290322580645,profitability_quality
conservative_investment,44,0.017317952175740246,2.175294016169442,48.70454545454545,investment
beta_high,40,0.10189599955258315,1.3827734475980504,44.8,risk
beta_low,40,-0.10189599955258521,-1.382773447598075,44.8,risk
low_idio_volatility,40,-0.3347271399693874,-0.4445177305238236,44.8,risk
low_total_volatility,40,0.44639820770663247,0.5271424500386915,44.8,risk
small_size,40,0.06771626907363582,3.8311703807818667,44.8,risk
momentum_12_1,56,0.04224319634187242,1.174196113070899,28.125,market_behavior
momentum_6_1,56,-0.012239991452235541,-0.29818972190319065,28.125,market_behavior
short_reversal,56,-0.019858107130026472,-1.4199463347076575,28.125,market_behavior
