sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,fdr_qvalue,fdr_reject_10pct
native,earnings_yield,Net income / market cap; negative earnings retained,1m,61,2616,0.04370147443607799,0.03819444456612095,0.2256429607078194,0.5409836065573771,1.4424875827564463,0.14916487207232976,0.8833197152732488,False
native,earnings_yield,Net income / market cap; negative earnings retained,3m,59,2476,0.06825076927943156,0.06293706293706294,0.2393271485158156,0.5932203389830508,1.524229970878702,0.12745127365198305,0.41876847057080147,False
native,earnings_yield,Net income / market cap; negative earnings retained,6m,56,2266,0.06944296577439778,0.06271637242346177,0.22605428054687096,0.6428571428571429,1.2276429176685073,0.2195810433685721,0.5611515552752397,False
native,earnings_yield,Net income / market cap; negative earnings retained,12m,50,1857,0.04961077104811676,-0.00982517278892086,0.218316215954318,0.42,0.6499609948133357,0.5157174171254699,0.5648333616136099,False
native,book_to_market,Book equity / market cap,1m,61,2483,0.06951447650489789,0.03823612141814258,0.26166748959710534,0.5737704918032787,2.1835116226655815,0.028998153984417963,0.6669575416416131,False
native,book_to_market,Book equity / market cap,3m,59,2349,0.1271696295331132,0.12158110873601292,0.22775099538496324,0.7796610169491526,3.5060582598600614,0.00045479566025097284,0.010460300185772375,True
native,book_to_market,Book equity / market cap,6m,56,2148,0.1701959809032382,0.20964492809567647,0.22513745581805947,0.75,3.4506678305561764,0.0005592013581536825,0.006430815618767349,True
native,book_to_market,Book equity / market cap,12m,50,1757,0.36392963704310183,0.31861249218960197,0.3089446628688589,0.88,3.2781853154269647,0.001044767819095016,0.004004943306530895,True
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,1m,61,2421,0.00383596636171269,-0.004729714974834251,0.2613061561134,0.47540983606557374,0.14455955229949602,0.8850586342842008,0.8850586342842008,False
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,3m,59,2289,0.056656312967827964,0.039828687366066345,0.2530889191753979,0.5423728813559322,1.1749334734059753,0.240021332449337,0.5018627860304319,False
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,56,2091,0.02037070218162698,-0.05241795689859226,0.2740511866771819,0.42857142857142855,0.2780978190041032,0.7809372699146075,0.8449113236745899,False
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,12m,50,1707,-0.03147433619366855,-0.09034045696171358,0.2725843945109546,0.26,-0.3311277288361424,0.7405480074023423,0.7545196933776098,False
native,cashflow_price,Operating cash flow / market cap,1m,49,1950,0.03967549617626302,0.062436914203316506,0.24768960300480677,0.6530612244897959,1.1036254744755527,0.26975563595488117,0.8833197152732488,False
native,cashflow_price,Operating cash flow / market cap,3m,47,1841,0.09210776416253971,0.11904761904761905,0.23337958490596247,0.6808510638297872,2.6643419698988327,0.007713910081168507,0.08870996593343783,True
native,cashflow_price,Operating cash flow / market cap,6m,44,1676,0.135428070917559,0.15266203216999424,0.13406703740179152,0.8181818181818182,4.935357867198995,8.00039261061869e-07,1.8400903004422986e-05,True
native,cashflow_price,Operating cash flow / market cap,12m,38,1358,0.19626813726913278,0.18004256971762822,0.13642530275021053,0.9210526315789473,4.216544090525136,2.4807480189847908e-05,0.00019019068145550064,True
native,sales_price,Revenue / market cap,1m,61,2616,0.009444839403440954,0.004809894640403114,0.2813279514628091,0.5081967213114754,0.23617990427089283,0.8132930725331922,0.8850586342842008,False
native,sales_price,Revenue / market cap,3m,59,2476,0.02305896784640836,0.0138820581837633,0.2992180061966379,0.5254237288135594,0.4075272838862988,0.6836207593345618,0.7146944302134055,False
native,sales_price,Revenue / market cap,6m,56,2266,0.0174574317519725,0.06508905656149151,0.2692898617187043,0.5892857142857143,0.24277971739775392,0.8081760487322165,0.8449113236745899,False
native,sales_price,Revenue / market cap,12m,50,1857,0.14696829771932943,0.22118755290565223,0.2636565164605626,0.8,1.9277837687598223,0.053882027445297354,0.1549108289052299,False
native,ebitda_ev_yield,EBITDA / enterprise value,1m,75,2424,0.02221615211853811,0.02571552462507332,0.3217310442343983,0.56,0.6232741454768088,0.5331043848454575,0.8850586342842008,False
native,ebitda_ev_yield,EBITDA / enterprise value,3m,73,2293,0.05902743230104101,0.014394710956526894,0.3061862639974062,0.5068493150684932,0.9829521072373489,0.32563101047999443,0.5526932294134825,False
native,ebitda_ev_yield,EBITDA / enterprise value,6m,70,2094,0.03222986569970041,0.023879376202802942,0.30935608202796705,0.5428571428571428,0.42767574281912457,0.668887212726534,0.8449113236745899,False
native,ebitda_ev_yield,EBITDA / enterprise value,12m,64,1703,0.05919123967112348,0.02701044521088529,0.21054256067859667,0.5625,1.3709960242370718,0.17037619541174287,0.3283478345290866,False
native,small_size,-log(MarketCap),1m,61,2640,0.01832485811327191,-0.009008837058385663,0.3038012425658247,0.47540983606557374,0.48538890546422503,0.6274005007919237,0.8850586342842008,False
native,small_size,-log(MarketCap),3m,59,2500,0.06242093148801159,0.041854542427289136,0.26699934665040564,0.6101694915254238,1.2567234016593378,0.20885381115820012,0.4803637656638603,False
native,small_size,-log(MarketCap),6m,56,2290,0.0839288745610408,0.10870986136379127,0.28779448600573526,0.6428571428571429,1.301348371323795,0.1931392371198557,0.5552753067195851,False
native,small_size,-log(MarketCap),12m,50,1881,0.205443016807159,0.25151336355139403,0.2088424004431505,0.8,5.014840650679741,5.307743626836725e-07,6.103905170862234e-06,True
