sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,fdr_qvalue,fdr_reject_10pct,top_bottom_spread,net_sharpe,max_drawdown,turnover,observations,dates,symbols,avg_names_per_date,bottom_return,middle_return,top_return,monotonic,group
native,book_to_market,Book equity / market cap,6m,56,2148,0.1701959809032382,0.20964492809567647,0.22513745581805947,0.75,3.4506678305561764,0.0005592013581536825,0.006430815618767349,True,0.17544503860018626,1.7149078444145232,-0.09769725740145296,0.055173630717108985,2622,63,67,41.61904761904762,0.034373765819281824,0.0961324671488553,0.20039614873124914,True,value
native,cashflow_price,Operating cash flow / market cap,6m,44,1676,0.135428070917559,0.15266203216999424,0.13406703740179152,0.8181818181818182,4.935357867198995,8.00039261061869e-07,1.8400903004422986e-05,True,0.12618014679917963,0.9958408062469067,-0.713304305328938,0.11686134453781512,2061,51,55,40.411764705882355,0.21261142887777415,0.1018520285938296,0.3224646911847641,False,value
native,low_leverage,-debt/assets,6m,70,2379,0.10303777970091285,0.08024369970831373,0.30796726763962273,0.6571428571428571,1.8852184625838015,0.059400349179577816,0.3144964472933579,False,-0.011094544115765255,-0.12171380241861936,-0.8835463693236965,0.08709574717479857,2881,77,71,37.41558441558441,0.10404248344508163,0.17647138723002528,0.09438230078504352,False,distress
native,small_size,-log(MarketCap),6m,56,2290,0.0839288745610408,0.10870986136379127,0.28779448600573526,0.6428571428571429,1.301348371323795,0.1931392371198557,0.5552753067195851,False,0.1557151738000089,1.079390045759926,-0.6192344117223444,0.05316558441558442,2785,63,70,44.20634920634921,0.029357229863216507,0.0826106679064755,0.19554545857197883,True,risk_size
native,beta_high,market beta over 252 days,6m,64,2073,0.07864814242188058,0.12495373545603111,0.3741500433084128,0.65625,0.8596429370270163,0.38998589886411206,0.7474729728228815,False,0.07733735797030314,0.45133532655019165,-0.9375815973195959,0.23137090205868316,2561,71,69,36.070422535211264,0.10691346168680713,0.08818454261309368,0.17673760063678773,False,risk_size
native,momentum_12_1,prior 252 trading-day return skipping 21 days,6m,57,1651,0.07512185386764333,0.0014819660258918862,0.4430896806330308,0.5087719298245614,0.6581966508199081,0.5104117766339349,0.8449113236745899,False,0.1436050802523182,0.5966821980203585,-0.9151917455580408,0.367084796718664,2132,64,68,33.3125,0.08655318771098369,0.08945321983327191,0.2190883780009088,True,market_behavior
native,earnings_yield,Net income / market cap; negative earnings retained,6m,56,2266,0.06944296577439778,0.06271637242346177,0.22605428054687096,0.6428571428571429,1.2276429176685073,0.2195810433685721,0.5611515552752397,False,-0.07204542740207476,-0.6653147633018748,-0.9852738357192525,0.09914428116520252,2761,63,70,43.82539682539682,0.1834826902241691,0.07686600187370399,0.11697407812009879,False,value
native,ebitda_ev_yield,EBITDA / enterprise value,6m,70,2094,0.03222986569970041,0.023879376202802942,0.30935608202796705,0.5428571428571428,0.42767574281912457,0.668887212726534,0.8449113236745899,False,-0.046428162779888614,-0.5922183008011006,-0.9403737171988317,0.10188829962077307,2559,77,69,33.23376623376623,0.15121480742453308,0.1520550070267883,0.10797810649253611,False,value
native,momentum_6_1,prior 126 trading-day return skipping 21 days,6m,63,2006,0.027917321977801023,0.006060606060606061,0.33603335073324747,0.5079365079365079,0.41273529569926576,0.6798005621395466,0.8449113236745899,False,0.04661402138906976,0.2995346971611916,-0.9408481757027729,0.447015994000121,2493,70,69,35.614285714285714,0.11900891334442534,0.0906891619524464,0.17067130167205863,False,market_behavior
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,56,2091,0.02037070218162698,-0.05241795689859226,0.2740511866771819,0.42857142857142855,0.2780978190041032,0.7809372699146075,0.8449113236745899,False,-0.08910456570008332,-0.8120092953191211,-0.9956478537864896,0.11234970380227298,2558,63,66,40.6031746031746,0.1614699480836583,0.09209284298818932,0.0710452718706261,False,value
