sample,signal,definition,horizon,cost_bps,periods,top_bottom_spread,gross_top_bottom_spread,net_sharpe,max_drawdown,turnover
global_common,earnings_yield,Net income / market cap; negative earnings retained,6m,33.0,19,0.09315031838154961,0.09409189324631333,0.6793257219727658,-0.48043562171254317,0.14266285829753322
global_common,book_to_market,Book equity / market cap,6m,33.0,19,0.14375074927368126,0.14446998004291203,1.2299985376536424,-0.21235020788325742,0.10897435897435899
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,33.0,19,-0.0521878469024528,-0.051214845167345806,-0.44588315203840695,-0.8505134346072729,0.14742450531924217
global_common,cashflow_price,Operating cash flow / market cap,6m,33.0,19,-0.01441364488447895,-0.01343057204400673,-0.15118048715093846,-0.700369319480452,0.148950430374579
global_common,sales_price,Revenue / market cap,6m,33.0,19,0.09338991107187514,0.09436056462884447,0.7592379709162775,-0.3660405848319318,0.1470687207529313
global_common,ebitda_ev_yield,EBITDA / enterprise value,6m,33.0,19,-0.010435753285241274,-0.009536390404354849,-0.12601089170257987,-0.6135238973194863,0.1362671031646101
global_common,small_size,-log(MarketCap),6m,33.0,19,0.0975003939909586,0.09824812678448085,1.0684131364043772,-0.18251932787868752,0.11329284750337383
global_common,size_log_mcap,log(MarketCap),6m,33.0,19,-0.09915917941605983,-0.09824812678448085,-1.0873113522452993,-0.8949766301194361,0.1380382775119617
global_common,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,6m,33.0,19,-0.1180584959056455,-0.11710078624688322,-0.9936900866095617,-0.9262583519292362,0.14510752405489247
global_common,gross_profitability,Gross profit / total assets,6m,33.0,19,-0.012317626591797795,-0.011455521328639905,-0.15053731072165052,-0.6479758660992136,0.130622009569378
global_common,roe_standalone,Net income / book equity or stored ROE,6m,33.0,19,-0.11283724133612076,-0.11193398341756874,-1.2978313008270705,-0.8934059008611449,0.13685726038667215
global_common,roa_standalone,Net income / total assets or stored ROA,6m,33.0,19,-0.1162079164538286,-0.11528669031154982,-1.0229423530820971,-0.9484781989515048,0.13957971852708695
global_common,accrual_quality,-(Net income - CFO) / assets,6m,33.0,19,-0.0005483814258427132,0.00043791122887099955,-0.004195809289282825,-0.7335585295858482,0.1494382810172284
global_common,piotroski_lite,Existing PIT Piotroski-lite score,6m,33.0,19,0.0388077371214384,0.0400153455656258,0.3109540011240627,-0.5830670355192871,0.182970976392029
global_common,conservative_investment,-asset growth,6m,33.0,19,-0.00029834618816514845,0.0010896497632518567,-0.004050054341911965,-0.3642296283851719,0.21030241688136425
global_common,low_leverage,-debt/assets,6m,33.0,19,-0.02331639943100658,-0.022013152399400424,-0.2531595630324452,-0.7489261608418587,0.1974616714554795
global_common,momentum_12_1,prior 252 trading-day return skipping 21 days,6m,33.0,19,0.18654205452565453,0.18831787870147867,1.2691904750244194,-0.24096951805666367,0.2690642690642691
global_common,momentum_6_1,prior 126 trading-day return skipping 21 days,6m,33.0,19,0.17965775840932105,0.18183701809700178,1.2468776177169163,-0.1328329975736383,0.3301908617698091
global_common,short_reversal,-prior 21 trading-day return,6m,33.0,19,-0.09568288302229622,-0.09032477813576457,-0.6558013291385449,-0.9141094988457236,0.8118340737169154
global_common,beta_high,market beta over 252 days,6m,33.0,19,0.18308999432064105,0.1844075015502535,1.4948121179199931,-0.006038841900088188,0.19962230751704438
global_common,beta_low,-market beta over 252 days,6m,33.0,19,-0.18663121323330728,-0.18440750155025348,-1.5184081985660243,-0.9825357188081965,0.3369260125839073
global_common,low_total_volatility,-annualized realized volatility,6m,33.0,19,-0.1802692832380534,-0.17839754813105516,-2.585302196290841,-0.9759940786921657,0.28359622833307047
global_common,low_idio_volatility,-market-model residual volatility,6m,33.0,19,-0.16997604922471685,-0.16829475367815813,-2.588442307954333,-0.9696859145551009,0.25474174947859163
