sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,fdr_qvalue,fdr_reject_10pct
global_common,earnings_yield,Net income / market cap; negative earnings retained,1m,38,902,0.07353100111268805,0.04005439794913479,0.29594705213964373,0.5789473684210527,1.5143695406214135,0.12993214011086285,0.2988439222549846,False
global_common,earnings_yield,Net income / market cap; negative earnings retained,3m,36,824,0.190736064653491,0.12672722778395748,0.3018400489784436,0.6666666666666666,2.5628530148497757,0.01038159886893153,0.044368312980152536,True
global_common,earnings_yield,Net income / market cap; negative earnings retained,6m,33,711,0.26850107319356625,0.2640711902113459,0.28910611082683463,0.7878787878787878,2.508603857051659,0.012120933086473773,0.023432583643010818,True
global_common,earnings_yield,Net income / market cap; negative earnings retained,12m,27,485,0.35556920338831255,0.3765736179529283,0.4174118593941371,0.7777777777777778,2.059983505667951,0.03940011768966323,0.047694879308539696,True
global_common,book_to_market,Book equity / market cap,1m,38,902,0.1233867385943187,0.11715718649023266,0.34463148903202256,0.5789473684210527,2.0130867374429227,0.04410550522464618,0.2988439222549846,False
global_common,book_to_market,Book equity / market cap,3m,36,824,0.24191659361122428,0.18606445271950794,0.34972961730169566,0.7777777777777778,2.67950189846037,0.007373178515386769,0.044368312980152536,True
global_common,book_to_market,Book equity / market cap,6m,33,711,0.3750964031150874,0.2940129380983771,0.3262962250353171,0.8484848484848485,3.0466827789393993,0.0023138175572678943,0.01301213600357185,True
global_common,book_to_market,Book equity / market cap,12m,27,485,0.464141504362046,0.46450037987230347,0.2625347561310783,0.9629629629629629,4.024281842201973,5.714944272172673e-05,0.00016430464782496434,True
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,1m,38,902,0.06032127078057652,0.04579947641730185,0.26928770212604036,0.5526315789473685,1.4310354815466833,0.1524200464223664,0.3186964607013115,False
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,3m,36,824,0.07257942629440561,0.009579658893369095,0.2803850633045164,0.5,1.1197897822807388,0.26280335445153336,0.27474896147205763,False
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,33,711,0.02652604626673849,-0.03571428571428572,0.25804867797774667,0.42424242424242425,0.3382133378938512,0.7352024253206775,0.7352024253206774,False
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,12m,27,485,-0.0714329597534977,-0.13905885056568537,0.267135386430037,0.37037037037037035,-1.2100714402021961,0.22625148101628012,0.23653563924429283,False
global_common,cashflow_price,Operating cash flow / market cap,1m,38,902,0.08292294279561438,0.018781546872043496,0.3573505181667738,0.5789473684210527,1.309457467848882,0.1903794359297899,0.3648939188654306,False
global_common,cashflow_price,Operating cash flow / market cap,3m,36,824,0.17665592338024275,0.07455248230638775,0.3247110310581709,0.6388888888888888,2.7066425988216145,0.006796738542353964,0.044368312980152536,True
