sample,signal,definition,horizon,cost_bps,periods,top_bottom_spread,gross_top_bottom_spread,net_sharpe,max_drawdown,turnover
native,earnings_yield,Net income / market cap; negative earnings retained,6m,33.0,44,-0.07204542740207476,-0.07139107514638443,-0.6653147633018748,-0.9852738357192525,0.09914428116520252
native,book_to_market,Book equity / market cap,6m,33.0,44,0.17544503860018626,0.17580918456291916,1.7149078444145232,-0.09769725740145296,0.055173630717108985
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,33.0,44,-0.08910456570008332,-0.08836305765498832,-0.8120092953191211,-0.9956478537864896,0.11234970380227298
native,cashflow_price,Operating cash flow / market cap,6m,33.0,35,0.12618014679917963,0.12695143167312922,0.9958408062469067,-0.713304305328938,0.11686134453781512
native,sales_price,Revenue / market cap,6m,33.0,44,0.1416732284336345,0.14227746421958767,1.3761096736390799,-0.29012097907245427,0.09155087665957233
native,ebitda_ev_yield,EBITDA / enterprise value,6m,33.0,44,-0.046428162779888614,-0.04575570000239149,-0.5922183008011006,-0.9403737171988317,0.10188829962077307
native,small_size,-log(MarketCap),6m,33.0,56,0.1557151738000089,0.15606606665715178,1.079390045759926,-0.6192344117223444,0.05316558441558442
native,size_log_mcap,log(MarketCap),6m,33.0,56,-0.15637618755333632,-0.15606606665715178,-1.083502229599387,-0.999986254688926,0.046988014573418294
native,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,6m,33.0,44,-0.10828203019717014,-0.10766529892843892,-1.2579018644187359,-0.9955568556826682,0.09344413162594982
native,gross_profitability,Gross profit / total assets,6m,33.0,35,-0.20980675691970443,-0.2092005974032663,-1.4898624017825057,-0.9999447281200627,0.09184235097547791
native,roe_standalone,Net income / book equity or stored ROE,6m,33.0,44,-0.11854375899551489,-0.11802269729151839,-1.1682255311934877,-0.9974564258670486,0.0789487430297707
native,roa_standalone,Net income / total assets or stored ROA,6m,33.0,44,-0.11593915195699145,-0.11550501055491526,-1.145237641843263,-0.9980343895716411,0.06577900031457344
native,accrual_quality,-(Net income - CFO) / assets,6m,33.0,44,0.03197038140450991,0.03260956936329025,0.280718649483324,-0.7503153120383612,0.09684666042126516
native,piotroski_lite,Existing PIT Piotroski-lite score,6m,33.0,70,-0.031276040065693865,-0.030481684204508808,-0.3367520835731146,-0.9524256900638152,0.12035694866440207
native,conservative_investment,-asset growth,6m,33.0,44,0.07562703662805609,0.07660278255174309,0.9779230393957542,-0.352569023057531,0.14784029146772995
native,low_leverage,-debt/assets,6m,33.0,44,-0.011094544115765255,-0.010519712184411585,-0.12171380241861936,-0.8835463693236965,0.08709574717479857
native,momentum_12_1,prior 252 trading-day return skipping 21 days,6m,33.0,57,0.1436050802523182,0.14602783991066134,0.5966821980203585,-0.9151917455580408,0.367084796718664
native,momentum_6_1,prior 126 trading-day return skipping 21 days,6m,33.0,63,0.04661402138906976,0.04956432694947058,0.2995346971611916,-0.9408481757027729,0.447015994000121
native,short_reversal,-prior 21 trading-day return,6m,33.0,69,-0.038646972391773414,-0.03322552798178555,-0.36022540128461733,-0.9862366774240052,0.8214309712102796
native,beta_high,market beta over 252 days,6m,33.0,64,0.07733735797030314,0.07886440592389046,0.45133532655019165,-0.9375815973195959,0.23137090205868316
native,beta_low,-market beta over 252 days,6m,33.0,64,-0.08018027116589171,-0.07886440592389046,-0.46805250148609856,-0.9998804952504329,0.1993735215153412
native,low_total_volatility,-annualized realized volatility,6m,33.0,64,-0.17253268197385968,-0.17130641560232357,-1.24355726963391,-0.9999993963840327,0.1857979350812231
native,low_idio_volatility,-market-model residual volatility,6m,33.0,64,-0.16894579915913815,-0.16792132151042816,-1.2321285645224025,-0.9999991619552826,0.15522388616817961
