sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue
native,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",1m,61,2662,0.025722760088667897,0.04183450707616129,0.2665963463058651,0.5901639344262295,0.7098323104818715,0.47780813008960665
native,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",3m,59,2520,0.004772414354665707,0.002959444647424187,0.28700423161848215,0.5084745762711864,0.07859088708484166,0.9373580361717351
native,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",6m,56,2307,0.022875753753466333,0.0458183798108217,0.33656230300818524,0.5892857142857143,0.24380118997339426,0.8073847986710381
native,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",12m,50,1892,0.13791455326743104,0.15622095200672903,0.27572569304413824,0.8,1.5291646970151749,0.12622361993549802
native,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",1m,17,605,-0.02705706117657065,0.02369535144936709,0.2970192440633833,0.5882352941176471,-0.4586511677830204,0.646484686198302
native,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",3m,16,553,0.036809065020104365,0.0651475915999619,0.18443104963784313,0.5625,0.9665978111757189,0.333745129235002
native,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",6m,15,506,0.11374766893631302,0.10840635087950458,0.20571889172921978,0.7333333333333333,2.4699277511388558,0.013514034293962585
native,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",12m,13,413,0.2820317886091587,0.2871650925649488,0.17785799209143044,0.9230769230769231,4.391154027891725,1.127506303921777e-05
native,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,1m,73,2709,0.009258184222827953,0.010615372336180063,0.28476434525037003,0.5068493150684932,0.27676851719511947,0.7819578568072398
native,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,3m,71,2567,0.08440745676456514,0.01013648335860803,0.29938408522441595,0.5070422535211268,1.76409759163396,0.0777155498932327
native,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,6m,68,2354,0.11192000502739463,0.06759384893713252,0.30441189699363724,0.6176470588235294,1.7618955146680366,0.07808695259353615
native,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,12m,62,1939,0.15051585177040033,0.08831168831168831,0.30794039953841323,0.6129032258064516,1.490078872601057,0.13620349863797987
native,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",1m,36,2265,0.06776233025103479,0.08890785243234861,0.1300024497854084,0.6666666666666666,3.155925337187019,0.0015998980882683256
native,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",3m,34,2131,0.09711201541338634,0.06267517953017333,0.153392297067366,0.6764705882352942,2.4364175819403173,0.014833549361095377
native,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",6m,31,1930,0.11622797586992603,0.07607463926871648,0.1581869643145621,0.7419354838709677,1.8680494625339108,0.06175517682889664
native,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",12m,25,1539,0.12078245096673433,0.06303039460099216,0.18535776212926636,0.72,1.3040633754159718,0.19221197498352982
native,book_to_market,A1 PIT book equity / PIT market cap,1m,61,2483,0.07676240561633256,0.031928841622982825,0.28927525541972815,0.5901639344262295,2.1978085746666576,0.027962750142760395
