as_of_date,n,r2
2023-04-30,61,0.45924966035656545
2023-05-31,61,0.46183377357624
2023-06-30,61,0.4618320495537319
2023-07-31,61,0.4618332676215795
2023-08-31,61,0.4618348236908635
2023-09-30,61,0.46183949653166745
2023-10-31,61,0.4618410444408947
2023-11-30,61,0.46184274745553466
2023-12-31,62,0.44982015419486865
2024-01-31,62,0.4492163202913547
2024-02-29,62,0.4490597497359108
2024-03-31,62,0.5520379385277128
2024-04-30,62,0.5501540541283376
2024-05-31,62,0.5481116618225321
2024-06-30,62,0.5481116618225321
2024-07-31,62,0.5480345756852694
2024-08-31,62,0.5509677043143227
2024-09-30,62,0.5478573171717493
2024-10-31,62,0.5478573171717493
2024-11-30,62,0.5477079887040415
2024-12-31,63,0.5477057109447245
2025-01-31,63,0.5477098136464851
2025-02-28,63,0.5476101751055447
2025-03-31,64,0.5640100378942485
2025-04-30,64,0.6067976070412066
2025-05-31,64,0.6325280504785089
2025-06-30,64,0.6325279932143231
2025-07-31,65,0.6303459574399358
2025-08-31,65,0.605127224940389
2025-09-30,65,0.6057967853506583
2025-10-31,65,0.6057523840314465
2025-11-30,65,0.6058764715896204
2025-12-31,67,0.6275531960340648
2026-01-31,67,0.626852299240177
2026-02-28,67,0.6311231402900467
2026-03-31,67,0.6064101365433157
2026-04-30,67,0.5782971724745389
2026-05-31,67,0.5778294794840465
