sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue
common,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",1m,12,557,0.012601914405255052,-0.00040471785383903764,0.1674476713639662,0.5,0.2662317182721282,0.7900607565850617
common,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",3m,11,505,0.06009503438694826,0.06765327695560254,0.13551350289214478,0.6363636363636364,2.0636329610149966,0.03905252996736852
common,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",6m,10,458,0.0676212199388628,0.03981652790625964,0.14998942355611974,0.7,2.955474659685366,0.003121883414174853
common,classical_characteristics,"A composite: z(B/M) + z(profitability approximation) - z(asset growth), >=2 components",12m,8,365,0.14534428771114322,0.1554886524452519,0.04358085536400916,1.0,29.725794031112322,0.0
common,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",1m,12,557,-0.0031069216830681124,0.027722301361009415,0.1375206392696675,0.5833333333333334,-0.07920705844604842,0.9368679304059728
common,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",3m,11,505,0.03491011289482162,0.03128795457860569,0.1405565542583332,0.5454545454545454,1.4195850562175276,0.1557285185074826
common,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",6m,10,458,0.08046759485547002,0.11234090282277709,0.11061557030943026,0.7,3.978554354294775,6.933556167565413e-05
common,intrinsic_valuation,"B systematic PIT valuation gap from valuation engine base scenario, fixed default assumptions",12m,8,365,0.169121878592759,0.173973382494818,0.1102510936335389,0.875,4.364497433290884,1.2741534551885536e-05
common,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,1m,12,557,0.04254512217646605,-0.009706086305738888,0.1415178055578463,0.5,1.210487463055108,0.22609189857389822
common,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,3m,11,505,0.03610175892502688,0.01818181818181818,0.1582753839716735,0.5454545454545454,1.067719065024534,0.2856472558709011
common,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,6m,10,458,0.03939647005995266,0.05985949328852725,0.15960493431826997,0.6,1.1207131135863435,0.2624099984266426
common,fundamental_momentum,C accounting change/improvement composite; no analyst revisions due lack of true revision history,12m,8,365,-0.024400356008323083,-0.03887725982187938,0.15684372673228603,0.5,-0.40631099798948395,0.6845141055005941
common,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",1m,12,557,0.12820573533489482,0.1394543441055069,0.120270646580852,0.75,3.988470788338759,6.650058976775952e-05
common,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",3m,11,505,0.049198884387735606,0.0311054579093432,0.18254066785454354,0.7272727272727273,0.7498487795918113,0.4533457861691277
common,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",6m,10,458,0.08687289859922225,0.08430465618254702,0.17906409755372038,0.7,1.2485634256965763,0.21182479657694087
common,residual_value,"D cheapness residual from log(P/B) explained by ROE, revenue growth, and size",12m,8,365,0.05354268838185578,0.07761717545482577,0.2040249089516014,0.75,0.7775433266986435,0.43683828265649516
