sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,fdr_qvalue,fdr_reject_10pct
global_common,earnings_yield,Net income / market cap; negative earnings retained,1m,38,925,0.07583273877950707,0.03257839721254356,0.29341716487155045,0.6052631578947368,1.5698491607715026,0.11645020743323098,0.45064091039459625,False
global_common,earnings_yield,Net income / market cap; negative earnings retained,3m,36,845,0.1971963305522884,0.132647795079737,0.29643446686417646,0.7222222222222222,2.7284662949009033,0.006362959233291887,0.034295050458051334,True
global_common,earnings_yield,Net income / market cap; negative earnings retained,6m,33,725,0.27408832999621646,0.2640711902113459,0.2849762778775792,0.7878787878787878,2.619040157535002,0.008817756657751419,0.025652265734270447,True
global_common,earnings_yield,Net income / market cap; negative earnings retained,12m,27,488,0.35652404719661346,0.3765736179529283,0.4162628817089763,0.7777777777777778,2.0733677536068633,0.03813806757658189,0.05175880599678971,True
global_common,book_to_market,Book equity / market cap,1m,38,925,0.12475410730125773,0.11715718649023266,0.3364742653355159,0.5789473684210527,2.0627762598002395,0.03913389058407368,0.45064091039459625,False
global_common,book_to_market,Book equity / market cap,3m,36,845,0.24774157407932673,0.18461118464866,0.3419703590030921,0.7777777777777778,2.7940227034530913,0.00520568237998198,0.034295050458051334,True
global_common,book_to_market,Book equity / market cap,6m,33,725,0.38096593406942375,0.2940129380983771,0.3178831783419387,0.8787878787878788,3.163210097744793,0.0015603967607518143,0.01726786182869544,True
global_common,book_to_market,Book equity / market cap,12m,27,488,0.4670088358222967,0.46450037987230347,0.2578873549857088,1.0,4.1102265019229405,3.9527120206273025e-05,0.00018775382097979687,True
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,1m,38,925,0.06039511047791418,0.05037382805481877,0.26793727375848364,0.5526315789473685,1.4672514853816692,0.142307655914083,0.45064091039459625,False
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,3m,36,845,0.0743840050124897,-0.007633363511673945,0.28148105246160404,0.5,1.1482427759246132,0.2508683550150317,0.2803822791344472,False
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,33,725,0.03124120423342286,-0.030126704396376398,0.2582523330086437,0.42424242424242425,0.39833290963868984,0.690384804900964,0.690384804900964,False
global_common,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,12m,27,488,-0.06999660959212659,-0.13905885056568537,0.26839924089094164,0.37037037037037035,-1.1953616931764734,0.23194574551607605,0.25923348028267323,False
global_common,cashflow_price,Operating cash flow / market cap,1m,38,925,0.0812156848305414,0.02409294176485776,0.3556566360207303,0.6052631578947368,1.2928547065875895,0.196061315269056,0.5285394330697237,False
global_common,cashflow_price,Operating cash flow / market cap,3m,36,845,0.17522877005794912,0.07455248230638775,0.3230155184238833,0.6666666666666666,2.6984417365848685,0.0069664931324400214,0.034295050458051334,True
global_common,cashflow_price,Operating cash flow / market cap,6m,33,725,0.26830062277840966,0.12753172863767603,0.34296089370021526,0.696969696969697,2.351858603238223,0.018679874213182623,0.02957646750420582,True
global_common,cashflow_price,Operating cash flow / market cap,12m,27,488,0.3445141633353983,0.1757941117943033,0.34832966268070176,0.7407407407407407,2.156848481601015,0.031017472176532834,0.045333228565701836,True
global_common,sales_price,Revenue / market cap,1m,38,925,0.06019155362450271,0.044716351501668514,0.3332172884273367,0.5526315789473685,0.977575250961551,0.32828444282917846,0.5285394330697237,False
global_common,sales_price,Revenue / market cap,3m,36,845,0.17921878925478893,0.09296557491774832,0.32533939490293706,0.6944444444444444,2.548136264269196,0.010830015934121473,0.034295050458051334,True
global_common,sales_price,Revenue / market cap,6m,33,725,0.2271598377404735,0.21448677427744164,0.2315925597230774,0.7878787878787878,3.040536556670751,0.0023615702117187887,0.01726786182869544,True
global_common,sales_price,Revenue / market cap,12m,27,488,0.35308326652445665,0.3714285714285715,0.24747839630639984,0.9259259259259259,3.557772621535177,0.00037401284708926674,0.001015177727813724,True
global_common,ebitda_ev_yield,EBITDA / enterprise value,1m,38,925,0.04578014197769442,0.018518234606685162,0.28406589903708573,0.5526315789473685,0.8431932053756552,0.3991203978601865,0.5285394330697237,False
global_common,ebitda_ev_yield,EBITDA / enterprise value,3m,36,845,0.1136128093272839,0.036759822660405464,0.28492339896646884,0.5833333333333334,1.701007028055098,0.0889416674762944,0.12260086206038119,False
global_common,ebitda_ev_yield,EBITDA / enterprise value,6m,33,725,0.16745114871733185,0.058262517073153774,0.3069248888032692,0.6060606060606061,1.6155256873799402,0.1061969021754745,0.13451607608893437,False
global_common,ebitda_ev_yield,EBITDA / enterprise value,12m,27,488,0.2572370004283068,0.17000041891846004,0.3715386045436789,0.5925925925925926,1.4522655650970755,0.14642777829079612,0.17388298672032038,False
global_common,small_size,-log(MarketCap),1m,38,925,0.06680384859882697,0.0418485185557811,0.34467245108310807,0.5526315789473685,1.035832158868317,0.3002804517463109,0.5285394330697237,False
global_common,small_size,-log(MarketCap),3m,36,845,0.1806274586213456,0.08620199146514937,0.35652466572200964,0.6388888888888888,2.0629358281555645,0.039118725532951704,0.07432557851260824,True
global_common,small_size,-log(MarketCap),6m,33,725,0.32654268848118634,0.14279461647882702,0.35348036589139803,0.8787878787878788,2.5077263406592403,0.01215107324254916,0.025652265734270447,True
global_common,small_size,-log(MarketCap),12m,27,488,0.5341645097064108,0.6571428571428573,0.3537725650468426,1.0,3.2591494436736066,0.0011174678713445907,0.0019301717777770204,True
global_common,size_log_mcap,log(MarketCap),1m,38,925,-0.06680384859882697,-0.0418485185557811,0.34467245108310807,0.4473684210526316,-1.035832158868317,0.3002804517463109,0.5285394330697237,False
global_common,size_log_mcap,log(MarketCap),3m,36,845,-0.1806274586213456,-0.08620199146514937,0.35652466572200964,0.3611111111111111,-2.0629358281555645,0.039118725532951704,0.07432557851260824,True
global_common,size_log_mcap,log(MarketCap),6m,33,725,-0.32654268848118634,-0.14279461647882702,0.35348036589139803,0.12121212121212122,-2.5077263406592403,0.01215107324254916,0.025652265734270447,True
global_common,size_log_mcap,log(MarketCap),12m,27,488,-0.5341645097064108,-0.6571428571428573,0.3537725650468426,0.0,-3.2591494436736066,0.0011174678713445907,0.0019301717777770204,True
global_common,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,1m,38,925,-0.04859924265604447,-0.023588709677419356,0.3813535116375383,0.47368421052631576,-0.7175188830434789,0.47305398924911324,0.5287073997490088,False
global_common,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,3m,36,845,-0.08390084934909472,-0.06388050214524074,0.3339960398964748,0.3888888888888889,-1.3144656992634391,0.18868953375170783,0.22406882133015305,False
global_common,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,6m,33,725,-0.10185854411688677,-0.11230051898897649,0.20864781790791057,0.24242424242424243,-2.07101722122721,0.038357186733905646,0.05606050368801595,True
global_common,operating_profitability_approx,Operating income / book equity; ROE fallback for financials,12m,27,488,-0.12294663094135065,-0.10714285714285716,0.15972588686026448,0.3333333333333333,-3.4142138704339335,0.0006396634206820018,0.0013814561542598981,True
global_common,gross_profitability,Gross profit / total assets,1m,38,925,-0.03764156118364206,-0.02089845302264239,0.3009532643026907,0.4473684210526316,-0.7636332341923742,0.4450858383745042,0.5285394330697237,False
global_common,gross_profitability,Gross profit / total assets,3m,36,845,-0.12717509112884512,-0.08596423047902953,0.25692681282824703,0.3333333333333333,-2.0800739074839507,0.03751875443739383,0.07432557851260824,True
global_common,gross_profitability,Gross profit / total assets,6m,33,725,-0.14293017520524262,-0.11012235817575085,0.23070815934803884,0.18181818181818182,-2.4317753801651354,0.015025021877927536,0.027877792199086884,True
global_common,gross_profitability,Gross profit / total assets,12m,27,488,-0.27345222214917186,-0.31568409343715237,0.21598867160635005,0.1111111111111111,-4.924592890407606,8.453616473502734e-07,8.030935649827597e-06,True
global_common,roe_standalone,Net income / book equity or stored ROE,1m,38,925,-0.09055518355216931,-0.00489432703003337,0.3263981085618067,0.47368421052631576,-1.5699094039383894,0.11643618950188817,0.45064091039459625,False
global_common,roe_standalone,Net income / book equity or stored ROE,3m,36,845,-0.2008540418643815,-0.12346518981261666,0.31053092144976685,0.3611111111111111,-2.4216753854025406,0.015449144056168596,0.041933391009600474,True
global_common,roe_standalone,Net income / book equity or stored ROE,6m,33,725,-0.3179979207766063,-0.1746223165067847,0.3227897015139931,0.12121212121212122,-2.5153612452795717,0.01189104736573654,0.025652265734270447,True
global_common,roe_standalone,Net income / book equity or stored ROE,12m,27,488,-0.42118089229372113,-0.3214285714285715,0.26146577409856564,0.0,-3.408014585764939,0.0006543739678073202,0.0013814561542598981,True
global_common,roa_standalone,Net income / total assets or stored ROA,1m,38,925,-0.07646224790848215,-0.04092400122737319,0.3665384817151017,0.47368421052631576,-1.1662882350365151,0.24349792828352634,0.5285394330697237,False
global_common,roa_standalone,Net income / total assets or stored ROA,3m,36,845,-0.18033752051480492,-0.09622920089162383,0.3054385172412728,0.2777777777777778,-2.5509521627425324,0.0107429070150169,0.034295050458051334,True
global_common,roa_standalone,Net income / total assets or stored ROA,6m,33,725,-0.2692770627693429,-0.1862898025649823,0.273245108677609,0.09090909090909091,-2.6758044862723147,0.007455012064697897,0.025652265734270447,True
global_common,roa_standalone,Net income / total assets or stored ROA,12m,27,488,-0.37454861139187606,-0.3571428571428572,0.20124187570292107,0.037037037037037035,-4.571119489692759,4.851255444027203e-06,3.0724617812172283e-05,True
global_common,accrual_quality,-(Net income - CFO) / assets,1m,38,925,-0.037425428323505365,-0.02555680109671702,0.2921268809902151,0.47368421052631576,-0.8368531241738113,0.40267513198682914,0.5285394330697237,False
global_common,accrual_quality,-(Net income - CFO) / assets,3m,36,845,-0.08497294429265005,-0.07058171200701166,0.2508341436554043,0.4166666666666667,-1.5058370762246565,0.1321090029146077,0.16733807035850307,False
global_common,accrual_quality,-(Net income - CFO) / assets,6m,33,725,-0.09277591594043445,-0.04105652152858856,0.20856250379677274,0.3939393939393939,-1.5673305193769795,0.11703745524432785,0.13898197810263932,False
global_common,accrual_quality,-(Net income - CFO) / assets,12m,27,488,-0.10511419539804516,-0.10714285714285716,0.12727371254324404,0.25925925925925924,-2.2044433087324076,0.02749318273614909,0.043530872665569396,True
global_common,piotroski_lite,Existing PIT Piotroski-lite score,1m,38,925,0.03026333902244782,0.005527928412079627,0.29732346120262665,0.5263157894736842,0.6297997712839293,0.5288255953253886,0.558204795065688,False
global_common,piotroski_lite,Existing PIT Piotroski-lite score,3m,36,845,0.1292062105176543,0.0627689093467989,0.31378735285930054,0.6111111111111112,1.6936201986926207,0.0903374773076493,0.12260086206038119,False
global_common,piotroski_lite,Existing PIT Piotroski-lite score,6m,33,725,0.1984903865542047,0.11404354023681595,0.3334687097018876,0.7272727272727273,1.8201554534362698,0.06873533477338056,0.09328366862101647,True
global_common,piotroski_lite,Existing PIT Piotroski-lite score,12m,27,488,0.3147385743491839,0.11920019077587124,0.41158490676792997,0.7777777777777778,1.7267949306572565,0.08420449925000417,0.10665903238333861,False
global_common,conservative_investment,-asset growth,1m,38,925,0.006370677558322985,-0.03020645095021172,0.3396964553546792,0.42105263157894735,0.1327024827957732,0.8944286792467615,0.8944286792467615,False
global_common,conservative_investment,-asset growth,3m,36,845,0.05881875223422604,-0.04863639617988682,0.3086710196043038,0.4444444444444444,0.8813634182954719,0.37812115090563303,0.37812115090563303,False
global_common,conservative_investment,-asset growth,6m,33,725,0.07088916114369824,0.03571428571428572,0.26322496110817306,0.5454545454545454,0.8741314944763418,0.382046647788872,0.40327146155492044,False
global_common,conservative_investment,-asset growth,12m,27,488,0.051493415629202004,0.0,0.18600690454617344,0.4444444444444444,0.8051804035432366,0.42071558313876034,0.42071558313876034,False
global_common,low_leverage,-debt/assets,1m,38,925,0.03369075117441671,0.017091585512638143,0.2574201034789136,0.5789473684210527,0.8083162643553541,0.4189085419872449,0.5285394330697237,False
global_common,low_leverage,-debt/assets,3m,36,845,0.07209836404888566,0.03916510318949344,0.2549674253823543,0.5833333333333334,1.0772166849655311,0.2813834729532567,0.29701588811732654,False
global_common,low_leverage,-debt/assets,6m,33,725,0.10847369643290185,0.14191924718240506,0.26532188995329387,0.5757575757575758,1.1528779238012765,0.24896049447003876,0.2782499644076904,False
global_common,low_leverage,-debt/assets,12m,27,488,0.13186370926009588,0.08571428571428573,0.26635677147776987,0.6296296296296297,1.1406792848697007,0.25400341003472726,0.26811471059221215,False
global_common,momentum_12_1,prior 252 trading-day return skipping 21 days,1m,38,925,0.10639903223693695,0.06720171611151203,0.35845633936584453,0.5789473684210527,1.7240356993606043,0.08470139869123772,0.45064091039459625,False
global_common,momentum_12_1,prior 252 trading-day return skipping 21 days,3m,36,845,0.21407500508199956,0.1837702820243093,0.3518296944027491,0.6944444444444444,2.5515140544053505,0.01072559981513277,0.034295050458051334,True
global_common,momentum_12_1,prior 252 trading-day return skipping 21 days,6m,33,725,0.3659413214535685,0.362441474328971,0.36395984369698964,0.8181818181818182,2.910782283034666,0.003605251375895069,0.01726786182869544,True
global_common,momentum_12_1,prior 252 trading-day return skipping 21 days,12m,27,488,0.536576303220643,0.44087438915022553,0.30244905340144496,0.9629629629629629,4.052519739645672,5.0668947349397087e-05,0.00019254199992770892,True
global_common,momentum_6_1,prior 126 trading-day return skipping 21 days,1m,38,925,0.10989056613245805,0.05486376465326691,0.39504098597004755,0.631578947368421,1.4705573904391729,0.14141085435486067,0.45064091039459625,False
global_common,momentum_6_1,prior 126 trading-day return skipping 21 days,3m,36,845,0.1634433787047365,0.15003873376058363,0.34307132694181,0.6666666666666666,1.8234689796538954,0.06823239116364643,0.1178559483735711,False
global_common,momentum_6_1,prior 126 trading-day return skipping 21 days,6m,33,725,0.2768816514056737,0.2981421756128294,0.2970027256837912,0.8484848484848485,2.908184377457861,0.003635339332356935,0.01726786182869544,True
global_common,momentum_6_1,prior 126 trading-day return skipping 21 days,12m,27,488,0.3935061857739728,0.4129491626398592,0.30580303897148586,0.8888888888888888,3.592032530704077,0.00032810887919065834,0.001015177727813724,True
global_common,short_reversal,-prior 21 trading-day return,1m,38,925,-0.052775275350017005,-0.07616243168301795,0.33698831547502117,0.4473684210526316,-0.9451897422849229,0.34456201538561615,0.5285394330697237,False
global_common,short_reversal,-prior 21 trading-day return,3m,36,845,-0.10038681355248935,-0.12495979630125972,0.3686188589716168,0.3888888888888889,-1.737770359577709,0.08225128539215332,0.12260086206038119,False
global_common,short_reversal,-prior 21 trading-day return,6m,33,725,-0.16385576817278708,-0.14285714285714288,0.35746881187149726,0.36363636363636365,-2.405739373733848,0.016139774431050302,0.027877792199086884,True
global_common,short_reversal,-prior 21 trading-day return,12m,27,488,-0.2767580248448473,-0.23997373784345957,0.29292848910088937,0.14814814814814814,-5.6388456764568415,1.711938724113793e-08,3.2526835758162065e-07,True
