method,mean_utility,median_utility,mean_ic,mean_hit_rate,mean_coverage,folds
threshold_optimized,0.006022861115640133,0.0018391612192877947,0.03407470342494674,0.5274924495811079,0.8471015541807867,5
baseline_fixed,0.004091267860901688,0.0031820210754703246,0.03407470342494674,0.5199604263057165,0.9173426368863999,5
isotonic_calibrated,0.0031053251177555912,-0.00037631526558969174,0.026473241380711044,0.5007704634702148,0.9315106575175166,5
topsis_action,0.0030382582093487188,0.0017880609114714163,0.03680329004367119,0.5214350575415914,0.5370725724694687,5
topsis_category,0.0015712326144533388,0.00035029530893764145,0.046088762167028355,0.4975636404491598,0.9195224200891368,5
ridge_linear,0.00041147988199276254,-8.200217470003029e-05,0.037122295124901075,0.4947256088873974,0.851256905735361,5
ahp_topsis_prior,-0.00037536637644223613,-0.001212274822591842,0.04455225777529631,0.48485621103563387,0.918761567050723,5
