method,fold,fwd_horizon,n,utility_mean,utility_sum,ic,ic_tstat,hit_rate,coverage,cost_bps,train_start,train_end,test_start,test_end
baseline_fixed,0,6,1083,0.004063133373105436,4.400373443073188,-0.05009087253687626,-0.9411607527024572,0.508893280632411,0.9344413665743305,10.0,2002-03-04,2002-09-30,2002-10-14,2007-04-19
threshold_optimized,0,6,1083,0.007912390278195467,8.56911867128569,-0.05009087253687626,-0.9411607527024572,0.5595567867036011,1.0,10.0,2002-03-04,2002-09-30,2002-10-14,2007-04-19
ridge_linear,0,6,1083,0.004036200268364858,4.371204890639142,-0.017457407251446524,-0.3278962679810436,0.5245746691871456,0.976915974145891,10.0,2002-03-04,2002-09-30,2002-10-14,2007-04-19
isotonic_calibrated,0,6,1083,-0.008982270124026094,-9.72779854432026,0.02475847901676063,0.446090564099763,0.39332096474953615,0.9953831948291783,10.0,2002-03-04,2002-09-30,2002-10-14,2007-04-19
topsis_category,0,6,1083,-0.005760020095079021,-6.23810176297058,0.04258088810776511,0.7491545944788067,0.41797961075069506,0.9963065558633426,10.0,2002-03-04,2002-09-30,2002-10-14,2007-04-19
topsis_action,0,6,1083,0.0012364759401327391,1.3391034431637565,-0.048860480847139016,-0.911704334720037,0.5010183299389002,0.4533702677746999,10.0,2002-03-04,2002-09-30,2002-10-14,2007-04-19
ahp_topsis_prior,0,6,1083,-0.008630801139581196,-9.347157634166436,0.0498581875826238,0.8789620666729282,0.3931372549019608,0.9418282548476454,10.0,2002-03-04,2002-09-30,2002-10-14,2007-04-19
baseline_fixed,1,6,1917,-0.0015367563362692598,-2.9459618966281713,-0.04640898588832107,-1.1085559000867578,0.4709531866892273,0.9248826291079812,10.0,2002-03-04,2007-04-11,2007-04-20,2011-03-22
threshold_optimized,1,6,1917,-0.00022263706370451923,-0.42679525112156336,-0.04640898588832107,-1.1085559000867578,0.49562841530054647,0.9546165884194053,10.0,2002-03-04,2007-04-11,2007-04-20,2011-03-22
ridge_linear,1,6,1917,0.0006023527336826875,1.154710190469712,-0.02291957347079838,-0.5851045433550788,0.5081845238095238,0.701095461658842,10.0,2002-03-04,2007-04-11,2007-04-20,2011-03-22
isotonic_calibrated,1,6,1917,0.0001563836474746202,0.29978745220884695,-0.04967882912330877,-1.1934831269208703,0.4986958789775691,1.0,10.0,2002-03-04,2007-04-11,2007-04-20,2011-03-22
topsis_category,1,6,1917,0.00010607620123836754,0.2033480777739506,-0.021855455004886868,-0.562354764548559,0.49818181818181817,0.7172665623369848,10.0,2002-03-04,2007-04-11,2007-04-20,2011-03-22
topsis_action,1,6,1917,-0.0010803380949929472,-2.07100812810148,-0.046956644411785375,-1.1327103082759191,0.4636118598382749,0.5805946791862285,10.0,2002-03-04,2007-04-11,2007-04-20,2011-03-22
ahp_topsis_prior,1,6,1917,-0.00028899495538597567,-0.5540033294749154,-0.025433692170465358,-0.6426098118162653,0.49413020277481323,0.9775691184141888,10.0,2002-03-04,2007-04-11,2007-04-20,2011-03-22
baseline_fixed,2,6,975,0.0013035403989995063,1.2709518890245186,0.11519595701150002,1.9703215144879527,0.5533175355450237,0.8656410256410256,10.0,2002-03-04,2011-03-14,2011-03-23,2018-06-14
threshold_optimized,2,6,975,-0.0007949517720697185,-0.7750779777679755,0.11519595701150002,1.9703215144879527,0.48613138686131385,0.7025641025641025,10.0,2002-03-04,2011-03-14,2011-03-23,2018-06-14
