method,fold,fwd_horizon,threshold_strong_sell,threshold_sell,threshold_buy,threshold_strong_buy,metadata
topsis_category,4,6,-99.0,-80.0,15.0,25.823386,"{""criteria"": [[0.039978644901251414, 1.6333387012398684, 0.0038247341802592795, 1.0, 0.9204431017119838], [0.027205580397988382, 1.0985537485171766, 0.003153996417677884, 0.0, 0.9758308157099698], [0.00997864755309757, 0.4209713689432613, 0.00017445158332641034, 0.0, 0.11346089291708628], [0.023318163388673246, 0.9625621290738394, 0.0008518462338189684, 1.0, 0.8806646525679759]], ""criteria_weights"": ""equal""}"
topsis_action,4,6,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.5163883735312307, ""mean_utility"": 0.0029404896270416414, ""n"": 1617.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1617.0}, ""sell"": {""hit_rate"": 0.42547928262213974, ""mean_utility"": -0.004940489627041644, ""n"": 1617.0}, ""strong_buy"": {""hit_rate"": 0.5163883735312307, ""mean_utility"": 0.0029404896270416414, ""n"": 1617.0}, ""strong_sell"": {""hit_rate"": 0.42547928262213974, ""mean_utility"": -0.004940489627041644, ""n"": 1617.0}}, ""hold"": {""buy"": {""hit_rate"": 0.44567627494456763, ""mean_utility"": -0.0017758511238197868, ""n"": 451.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 451.0}, ""sell"": {""hit_rate"": 0.48337028824833705, ""mean_utility"": -0.000224148876180215, ""n"": 451.0}, ""strong_buy"": {""hit_rate"": 0.44567627494456763, ""mean_utility"": -0.0017758511238197868, ""n"": 451.0}, ""strong_sell"": {""hit_rate"": 0.48337028824833705, ""mean_utility"": -0.000224148876180215, ""n"": 451.0}}, ""sell"": {""buy"": {""hit_rate"": 0.4903581267217631, ""mean_utility"": -0.0006090672861568384, ""n"": 1089.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1089.0}, ""sell"": {""hit_rate"": 0.4490358126721763, ""mean_utility"": -0.0013909327138431633, ""n"": 1089.0}, ""strong_buy"": {""hit_rate"": 0.4903581267217631, ""mean_utility"": -0.0006090672861568384, ""n"": 1089.0}, ""strong_sell"": {""hit_rate"": 0.4490358126721763, ""mean_utility"": -0.0013909327138431633, ""n"": 1089.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.5078369905956113, ""mean_utility"": 0.0019880140171413467, ""n"": 1595.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1595.0}, ""sell"": {""hit_rate"": 0.42821316614420063, ""mean_utility"": -0.003988014017141348, ""n"": 1595.0}, ""strong_buy"": {""hit_rate"": 0.5078369905956113, ""mean_utility"": 0.0019880140171413467, ""n"": 1595.0}, ""strong_sell"": {""hit_rate"": 0.42821316614420063, ""mean_utility"": -0.003988014017141348, ""n"": 1595.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.48175787728026537, ""mean_utility"": -0.0016147570667387145, ""n"": 1206.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1206.0}, ""sell"": {""hit_rate"": 0.472636815920398, ""mean_utility"": -0.00038524293326128726, ""n"": 1206.0}, ""strong_buy"": {""hit_rate"": 0.48175787728026537, ""mean_utility"": -0.0016147570667387145, ""n"": 1206.0}, ""strong_sell"": {""hit_rate"": 0.472636815920398, ""mean_utility"": -0.00038524293326128726, ""n"": 1206.0}}}}"
ahp_topsis_prior,4,6,-99.0,15.0,29.183013,30.0,"{""criteria"": [[0.039978644901251414, 1.6333387012398684, 0.0038247341802592795, 1.0, 0.9204431017119838], [0.027205580397988382, 1.0985537485171766, 0.003153996417677884, 0.0, 0.9758308157099698], [0.00997864755309757, 0.4209713689432613, 0.00017445158332641034, 0.0, 0.11346089291708628], [0.023318163388673246, 0.9625621290738394, 0.0008518462338189684, 1.0, 0.8806646525679759]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,0,10,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,0,10,-80.0,-60.0,-50.0,-30.0,{}
ridge_linear,0,10,-80.0,-19.256111,-16.81273,-15.0,"{""feature_means"": {""momentum"": -82.5, ""oscillation"": 0.0, ""tendance"": -99.16666666666667, ""volume"": -2.5}, ""feature_stds"": {""momentum"": 52.698039179207925, ""oscillation"": 1.0, ""tendance"": 9.090593428863096, ""volume"": 95.2737284529861}}"
isotonic_calibrated,0,10,-50.0,-15.0,15.0,50.0,"{""increasing"": false, ""x_thresholds"": [-100.0, 0.0, 25.0], ""y_thresholds"": [-0.003998421603215818, -0.003998421603215818, -0.03537029820863609]}"
topsis_category,0,10,-80.0,50.0,60.0,65.616839,"{""criteria"": [[0.0, 0.0, 0.0, 0.0, 0.9916666666666667], [0.22852273985434643, 1.2377299940283826, 0.001380068391416204, 0.0, 0.9583333333333334], [0.0, 0.0, 0.0, 0.0, 0.0], [0.015033627657246439, 0.08600094203859841, 0.0, 0.0, 0.9083333333333333]], ""criteria_weights"": ""equal""}"
topsis_action,0,10,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.0, ""mean_utility"": -0.03637029820863609, ""n"": 5.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 5.0}, ""sell"": {""hit_rate"": 1.0, ""mean_utility"": 0.03437029820863609, ""n"": 5.0}, ""strong_buy"": {""hit_rate"": 0.0, ""mean_utility"": -0.03637029820863609, ""n"": 5.0}, ""strong_sell"": {""hit_rate"": 1.0, ""mean_utility"": 0.03437029820863609, ""n"": 5.0}}, ""hold"": {""buy"": {""hit_rate"": 0.5, ""mean_utility"": -0.001728150948857531, ""n"": 2.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 2.0}, ""sell"": {""hit_rate"": 0.5, ""mean_utility"": -0.00027184905114246895, ""n"": 2.0}, ""strong_buy"": {""hit_rate"": 0.5, ""mean_utility"": -0.001728150948857531, ""n"": 2.0}, ""strong_sell"": {""hit_rate"": 0.5, ""mean_utility"": -0.00027184905114246895, ""n"": 2.0}}, ""sell"": {""buy"": {""hit_rate"": 0.33962264150943394, ""mean_utility"": -0.004378014622342223, ""n"": 53.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 53.0}, ""sell"": {""hit_rate"": 0.49056603773584906, ""mean_utility"": 0.0023780146223422215, ""n"": 53.0}, ""strong_buy"": {""hit_rate"": 0.33962264150943394, ""mean_utility"": -0.004378014622342223, ""n"": 53.0}, ""strong_sell"": {""hit_rate"": 0.49056603773584906, ""mean_utility"": 0.0023780146223422215, ""n"": 53.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}, ""sell"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}, ""strong_buy"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}, ""strong_sell"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 0.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.3, ""mean_utility"": -0.005655456791466105, ""n"": 60.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 60.0}, ""sell"": {""hit_rate"": 0.5166666666666667, ""mean_utility"": 0.0036554567914661032, ""n"": 60.0}, ""strong_buy"": {""hit_rate"": 0.3, ""mean_utility"": -0.005655456791466105, ""n"": 60.0}, ""strong_sell"": {""hit_rate"": 0.5166666666666667, ""mean_utility"": 0.0036554567914661032, ""n"": 60.0}}}}"
ahp_topsis_prior,0,10,-80.0,76.617021,80.0,90.52105,"{""criteria"": [[0.0, 0.0, 0.0, 0.0, 0.9916666666666667], [0.22852273985434643, 1.2377299940283826, 0.001380068391416204, 0.0, 0.9583333333333334], [0.0, 0.0, 0.0, 0.0, 0.0], [0.015033627657246439, 0.08600094203859841, 0.0, 0.0, 0.9083333333333333]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,1,10,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,1,10,-80.0,-60.0,-50.0,-30.0,{}
ridge_linear,1,10,-80.0,30.0,36.323955,47.76192,"{""feature_means"": {""momentum"": 25.606694560669457, ""oscillation"": -8.95397489539749, ""tendance"": 21.255230125523013, ""volume"": 42.59414225941423}, ""feature_stds"": {""momentum"": 95.665189982719, ""oscillation"": 44.38508238804465, ""tendance"": 94.44892868396947, ""volume"": 83.75076673099758}}"
isotonic_calibrated,1,10,-80.0,30.0,50.0,60.0,"{""increasing"": true, ""x_thresholds"": [-100.0, -75.0, -50.0, -33.333333333333336, 66.66666666666667, 75.0, 100.0], ""y_thresholds"": [-0.02050222931259349, 0.003596042889536208, 0.003596042889536208, 0.015197904472033619, 0.015197904472033619, 0.015405913693985088, 0.015405913693985088]}"
topsis_category,1,10,-96.026633,-80.0,-30.0,-15.0,"{""criteria"": [[0.04848113366140437, 0.7503623815226953, 0.005592829483756796, 0.0, 0.9372384937238494], [0.019792890416155683, 0.3028007188372359, 0.002078414595553673, 0.0, 0.9807531380753138], [0.025953418653255195, 0.3944843570784624, 0.0005274752241639768, 0.0, 0.20502092050209206], [0.06625098397033659, 0.9847438578344779, 0.007783955064675689, 0.0, 0.8828451882845189]], ""criteria_weights"": ""equal""}"
topsis_action,1,10,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.5804878048780487, ""mean_utility"": 0.014089472153055784, ""n"": 410.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 410.0}, ""sell"": {""hit_rate"": 0.3804878048780488, ""mean_utility"": -0.016089472153055784, ""n"": 410.0}, ""strong_buy"": {""hit_rate"": 0.5804878048780487, ""mean_utility"": 0.014089472153055784, ""n"": 410.0}, ""strong_sell"": {""hit_rate"": 0.3804878048780488, ""mean_utility"": -0.016089472153055784, ""n"": 410.0}}, ""hold"": {""buy"": {""hit_rate"": 0.5068493150684932, ""mean_utility"": 0.00875423606298298, ""n"": 73.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 73.0}, ""sell"": {""hit_rate"": 0.4383561643835616, ""mean_utility"": -0.010754236062982982, ""n"": 73.0}, ""strong_buy"": {""hit_rate"": 0.5068493150684932, ""mean_utility"": 0.00875423606298298, ""n"": 73.0}, ""strong_sell"": {""hit_rate"": 0.4383561643835616, ""mean_utility"": -0.010754236062982982, ""n"": 73.0}}, ""sell"": {""buy"": {""hit_rate"": 0.6, ""mean_utility"": 0.012666693309417708, ""n"": 235.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 235.0}, ""sell"": {""hit_rate"": 0.33617021276595743, ""mean_utility"": -0.01466669330941771, ""n"": 235.0}, ""strong_buy"": {""hit_rate"": 0.6, ""mean_utility"": 0.012666693309417708, ""n"": 235.0}, ""strong_sell"": {""hit_rate"": 0.33617021276595743, ""mean_utility"": -0.01466669330941771, ""n"": 235.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.569364161849711, ""mean_utility"": 0.01343984711038814, ""n"": 346.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 346.0}, ""sell"": {""hit_rate"": 0.3699421965317919, ""mean_utility"": -0.01543984711038814, ""n"": 346.0}, ""strong_buy"": {""hit_rate"": 0.569364161849711, ""mean_utility"": 0.01343984711038814, ""n"": 346.0}, ""strong_sell"": {""hit_rate"": 0.3699421965317919, ""mean_utility"": -0.01543984711038814, ""n"": 346.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.46564885496183206, ""mean_utility"": 0.0029672157378504986, ""n"": 131.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 131.0}, ""sell"": {""hit_rate"": 0.42748091603053434, ""mean_utility"": -0.004967215737850501, ""n"": 131.0}, ""strong_buy"": {""hit_rate"": 0.46564885496183206, ""mean_utility"": 0.0029672157378504986, ""n"": 131.0}, ""strong_sell"": {""hit_rate"": 0.42748091603053434, ""mean_utility"": -0.004967215737850501, ""n"": 131.0}}}}"
ahp_topsis_prior,1,10,-93.954237,-35.71751,-30.0,-15.0,"{""criteria"": [[0.04848113366140437, 0.7503623815226953, 0.005592829483756796, 0.0, 0.9372384937238494], [0.019792890416155683, 0.3028007188372359, 0.002078414595553673, 0.0, 0.9807531380753138], [0.025953418653255195, 0.3944843570784624, 0.0005274752241639768, 0.0, 0.20502092050209206], [0.06625098397033659, 0.9847438578344779, 0.007783955064675689, 0.0, 0.8828451882845189]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,2,10,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,2,10,-80.0,-75.0,-60.0,-50.0,{}
ridge_linear,2,10,-80.0,30.0,50.0,54.800687,"{""feature_means"": {""momentum"": 12.989095574085953, ""oscillation"": -9.140474663245671, ""tendance"": 13.983322642719692, ""volume"": 22.22578576010263}, ""feature_stds"": {""momentum"": 98.03054469803759, ""oscillation"": 38.86415079268958, ""tendance"": 95.18613333065106, ""volume"": 90.87584847150146}}"
isotonic_calibrated,2,10,-50.0,-15.0,15.0,50.0,"{""increasing"": true, ""x_thresholds"": [-100.0, -75.0, -66.66666666666667, -50.0, -33.333333333333336, 100.0], ""y_thresholds"": [-0.011361678025741805, 0.002843086074674944, 0.00292935748649319, 0.00602867255429367, 0.008599480282753372, 0.008599480282753372]}"
topsis_category,2,10,-80.0,-60.0,-50.0,-44.251823,"{""criteria"": [[0.022240462198710332, 0.6086034046310562, 0.0030285343733442204, 1.0, 0.9255933290570879], [0.008689479720047131, 0.21922793649755654, 0.0, 1.0, 0.9778704297626684], [0.021711130909290603, 0.5744033457097771, 0.0004446757976156873, 0.0, 0.159397049390635], [0.01609943485795131, 0.41900515373832314, 0.0020227520524183614, 0.0, 0.8752405388069275]], ""criteria_weights"": ""equal""}"
topsis_action,2,10,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.542827657378741, ""mean_utility"": 0.008855275563941565, ""n"": 969.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 969.0}, ""sell"": {""hit_rate"": 0.4066047471620227, ""mean_utility"": -0.010855275563941566, ""n"": 969.0}, ""strong_buy"": {""hit_rate"": 0.542827657378741, ""mean_utility"": 0.008855275563941565, ""n"": 969.0}, ""strong_sell"": {""hit_rate"": 0.4066047471620227, ""mean_utility"": -0.010855275563941566, ""n"": 969.0}}, ""hold"": {""buy"": {""hit_rate"": 0.5391705069124424, ""mean_utility"": 0.0073404969374195475, ""n"": 217.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 217.0}, ""sell"": {""hit_rate"": 0.4147465437788018, ""mean_utility"": -0.00934049693741955, ""n"": 217.0}, ""strong_buy"": {""hit_rate"": 0.5391705069124424, ""mean_utility"": 0.0073404969374195475, ""n"": 217.0}, ""strong_sell"": {""hit_rate"": 0.4147465437788018, ""mean_utility"": -0.00934049693741955, ""n"": 217.0}}, ""sell"": {""buy"": {""hit_rate"": 0.5667244367417678, ""mean_utility"": 0.007630912728717543, ""n"": 577.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 577.0}, ""sell"": {""hit_rate"": 0.39168110918544197, ""mean_utility"": -0.009630912728717547, ""n"": 577.0}, ""strong_buy"": {""hit_rate"": 0.5667244367417678, ""mean_utility"": 0.007630912728717543, ""n"": 577.0}, ""strong_sell"": {""hit_rate"": 0.39168110918544197, ""mean_utility"": -0.009630912728717547, ""n"": 577.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.5123216601815823, ""mean_utility"": 0.0055137116011606145, ""n"": 771.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 771.0}, ""sell"": {""hit_rate"": 0.4345006485084306, ""mean_utility"": -0.007513711601160617, ""n"": 771.0}, ""strong_buy"": {""hit_rate"": 0.5123216601815823, ""mean_utility"": 0.0055137116011606145, ""n"": 771.0}, ""strong_sell"": {""hit_rate"": 0.4345006485084306, ""mean_utility"": -0.007513711601160617, ""n"": 771.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.5017123287671232, ""mean_utility"": 0.0014586416561330263, ""n"": 584.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 584.0}, ""sell"": {""hit_rate"": 0.4571917808219178, ""mean_utility"": -0.0034586416561330283, ""n"": 584.0}, ""strong_buy"": {""hit_rate"": 0.5017123287671232, ""mean_utility"": 0.0014586416561330263, ""n"": 584.0}, ""strong_sell"": {""hit_rate"": 0.4571917808219178, ""mean_utility"": -0.0034586416561330283, ""n"": 584.0}}}}"
ahp_topsis_prior,2,10,-80.0,-60.0,-56.939816,-50.0,"{""criteria"": [[0.022240462198710332, 0.6086034046310562, 0.0030285343733442204, 1.0, 0.9255933290570879], [0.008689479720047131, 0.21922793649755654, 0.0, 1.0, 0.9778704297626684], [0.021711130909290603, 0.5744033457097771, 0.0004446757976156873, 0.0, 0.159397049390635], [0.01609943485795131, 0.41900515373832314, 0.0020227520524183614, 0.0, 0.8752405388069275]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,3,10,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,3,10,-80.0,-75.0,-60.0,-50.0,{}
ridge_linear,3,10,-80.0,22.892316,48.511374,50.0,"{""feature_means"": {""momentum"": 9.042033235581624, ""oscillation"": -7.3069403714565, ""tendance"": 10.777126099706745, ""volume"": 17.10654936461388}, ""feature_stds"": {""momentum"": 98.60394623774835, ""oscillation"": 35.13527302137791, ""tendance"": 95.21125446235821, ""volume"": 90.34870746440168}}"
isotonic_calibrated,3,10,-50.0,-15.0,15.0,50.0,"{""increasing"": true, ""x_thresholds"": [-100.0, -75.0, -66.66666666666667, -50.0, 0.0, 25.0, 100.0], ""y_thresholds"": [-0.02053673948397469, 0.0008320092377092748, 0.0008320092377092748, 0.004645814401603306, 0.004645814401603306, 0.0073714950053678585, 0.0073714950053678585]}"
topsis_category,3,10,-99.0,-80.0,-18.032781,-15.0,"{""criteria"": [[0.051869873958896105, 1.5966733289507853, 0.004439989469563404, 1.0, 0.9181329423264907], [0.013705391651673338, 0.397539295690118, 0.002094460474681918, 0.0, 0.9804496578690127], [0.0010930036881127137, 0.033009401544205744, 0.00010530205140809375, 0.0, 0.12878787878787878], [0.054846622093512785, 1.5941814364387477, 0.00402840141652553, 1.0, 0.8455522971652004]], ""criteria_weights"": ""equal""}"
topsis_action,3,10,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.5390625, ""mean_utility"": 0.007906698151796343, ""n"": 1152.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1152.0}, ""sell"": {""hit_rate"": 0.4131944444444444, ""mean_utility"": -0.009906698151796347, ""n"": 1152.0}, ""strong_buy"": {""hit_rate"": 0.5390625, ""mean_utility"": 0.007906698151796343, ""n"": 1152.0}, ""strong_sell"": {""hit_rate"": 0.4131944444444444, ""mean_utility"": -0.009906698151796347, ""n"": 1152.0}}, ""hold"": {""buy"": {""hit_rate"": 0.45689655172413796, ""mean_utility"": 0.00089327704103659, ""n"": 348.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 348.0}, ""sell"": {""hit_rate"": 0.4885057471264368, ""mean_utility"": -0.0028932770410365904, ""n"": 348.0}, ""strong_buy"": {""hit_rate"": 0.45689655172413796, ""mean_utility"": 0.00089327704103659, ""n"": 348.0}, ""strong_sell"": {""hit_rate"": 0.4885057471264368, ""mean_utility"": -0.0028932770410365904, ""n"": 348.0}}, ""sell"": {""buy"": {""hit_rate"": 0.538787023977433, ""mean_utility"": 0.004996848254180485, ""n"": 709.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 709.0}, ""sell"": {""hit_rate"": 0.4217207334273625, ""mean_utility"": -0.006996848254180487, ""n"": 709.0}, ""strong_buy"": {""hit_rate"": 0.538787023977433, ""mean_utility"": 0.004996848254180485, ""n"": 709.0}, ""strong_sell"": {""hit_rate"": 0.4217207334273625, ""mean_utility"": -0.006996848254180487, ""n"": 709.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.503960396039604, ""mean_utility"": 0.00462045141657022, ""n"": 1010.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1010.0}, ""sell"": {""hit_rate"": 0.4415841584158416, ""mean_utility"": -0.006620451416570221, ""n"": 1010.0}, ""strong_buy"": {""hit_rate"": 0.503960396039604, ""mean_utility"": 0.00462045141657022, ""n"": 1010.0}, ""strong_sell"": {""hit_rate"": 0.4415841584158416, ""mean_utility"": -0.006620451416570221, ""n"": 1010.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.4650630011454754, ""mean_utility"": -0.0007554477718215557, ""n"": 873.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 873.0}, ""sell"": {""hit_rate"": 0.5017182130584192, ""mean_utility"": -0.001244552228178446, ""n"": 873.0}, ""strong_buy"": {""hit_rate"": 0.4650630011454754, ""mean_utility"": -0.0007554477718215557, ""n"": 873.0}, ""strong_sell"": {""hit_rate"": 0.5017182130584192, ""mean_utility"": -0.001244552228178446, ""n"": 873.0}}}}"
ahp_topsis_prior,3,10,-99.0,-80.0,-30.0,-15.0,"{""criteria"": [[0.051869873958896105, 1.5966733289507853, 0.004439989469563404, 1.0, 0.9181329423264907], [0.013705391651673338, 0.397539295690118, 0.002094460474681918, 0.0, 0.9804496578690127], [0.0010930036881127137, 0.033009401544205744, 0.00010530205140809375, 0.0, 0.12878787878787878], [0.054846622093512785, 1.5941814364387477, 0.00402840141652553, 1.0, 0.8455522971652004]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,4,10,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,4,10,-80.0,-75.0,-66.666667,-60.0,{}
ridge_linear,4,10,-80.0,-50.0,42.595825,50.0,"{""feature_means"": {""momentum"": 8.931580721267274, ""oscillation"": -5.74654533198517, ""tendance"": 12.268284462419953, ""volume"": 21.368385574654532}, ""feature_stds"": {""momentum"": 98.37457752298896, ""oscillation"": 33.23386609735259, ""tendance"": 95.13518036543637, ""volume"": 91.36135573679397}}"
isotonic_calibrated,4,10,-50.0,-15.0,15.0,50.0,"{""increasing"": true, ""x_thresholds"": [-100.0, -75.0, -66.66666666666667, 0.0, 25.0, 100.0], ""y_thresholds"": [-0.031849258251619765, -5.923626293224723e-06, 0.0017188701918888019, 0.0017188701918888019, 0.00537187873583384, 0.00537187873583384]}"
topsis_category,4,10,-99.0,-80.0,15.0,25.565863,"{""criteria"": [[0.052906359571357815, 1.9503505399643795, 0.005285616997330114, 1.0, 0.9201213346814965], [0.03185839300263098, 1.1358717032647232, 0.003848687053302836, 0.0, 0.9757330637007078], [0.005320884071574301, 0.2063710236905009, 0.0, 0.0, 0.11375126390293225], [0.03224984282559872, 1.170031314769382, 0.0006638736224914236, 1.0, 0.880350522413212]], ""criteria_weights"": ""equal""}"
topsis_action,4,10,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.5367965367965368, ""mean_utility"": 0.00555504671365945, ""n"": 1617.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1617.0}, ""sell"": {""hit_rate"": 0.4205318491032777, ""mean_utility"": -0.007555046713659451, ""n"": 1617.0}, ""strong_buy"": {""hit_rate"": 0.5367965367965368, ""mean_utility"": 0.00555504671365945, ""n"": 1617.0}, ""strong_sell"": {""hit_rate"": 0.4205318491032777, ""mean_utility"": -0.007555046713659451, ""n"": 1617.0}}, ""hold"": {""buy"": {""hit_rate"": 0.4501108647450111, ""mean_utility"": -0.0016234899231332472, ""n"": 451.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 451.0}, ""sell"": {""hit_rate"": 0.49667405764966743, ""mean_utility"": -0.00037651007686675454, ""n"": 451.0}, ""strong_buy"": {""hit_rate"": 0.4501108647450111, ""mean_utility"": -0.0016234899231332472, ""n"": 451.0}, ""strong_sell"": {""hit_rate"": 0.49667405764966743, ""mean_utility"": -0.00037651007686675454, ""n"": 451.0}}, ""sell"": {""buy"": {""hit_rate"": 0.5232774674115456, ""mean_utility"": 0.0016754583534588086, ""n"": 1074.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1074.0}, ""sell"": {""hit_rate"": 0.4366852886405959, ""mean_utility"": -0.0036754583534588103, ""n"": 1074.0}, ""strong_buy"": {""hit_rate"": 0.5232774674115456, ""mean_utility"": 0.0016754583534588086, ""n"": 1074.0}, ""strong_sell"": {""hit_rate"": 0.4366852886405959, ""mean_utility"": -0.0036754583534588103, ""n"": 1074.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.5191222570532915, ""mean_utility"": 0.0031723911996934034, ""n"": 1595.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1595.0}, ""sell"": {""hit_rate"": 0.43448275862068964, ""mean_utility"": -0.005172391199693404, ""n"": 1595.0}, ""strong_buy"": {""hit_rate"": 0.5191222570532915, ""mean_utility"": 0.0031723911996934034, ""n"": 1595.0}, ""strong_sell"": {""hit_rate"": 0.43448275862068964, ""mean_utility"": -0.005172391199693404, ""n"": 1595.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.46616541353383456, ""mean_utility"": -0.0021577329566141966, ""n"": 1197.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 1197.0}, ""sell"": {""hit_rate"": 0.4979114452798663, ""mean_utility"": 0.00015773295661419555, ""n"": 1197.0}, ""strong_buy"": {""hit_rate"": 0.46616541353383456, ""mean_utility"": -0.0021577329566141966, ""n"": 1197.0}, ""strong_sell"": {""hit_rate"": 0.4979114452798663, ""mean_utility"": 0.00015773295661419555, ""n"": 1197.0}}}}"
ahp_topsis_prior,4,10,-99.0,-80.0,0.0,15.0,"{""criteria"": [[0.052906359571357815, 1.9503505399643795, 0.005285616997330114, 1.0, 0.9201213346814965], [0.03185839300263098, 1.1358717032647232, 0.003848687053302836, 0.0, 0.9757330637007078], [0.005320884071574301, 0.2063710236905009, 0.0, 0.0, 0.11375126390293225], [0.03224984282559872, 1.170031314769382, 0.0006638736224914236, 1.0, 0.880350522413212]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,0,15,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,0,15,-80.0,-60.0,-50.0,-30.0,{}
ridge_linear,0,15,-99.0,-15.0,-14.926214,0.0,"{""feature_means"": {""momentum"": -82.5, ""oscillation"": 0.0, ""tendance"": -99.16666666666667, ""volume"": -2.5}, ""feature_stds"": {""momentum"": 52.698039179207925, ""oscillation"": 1.0, ""tendance"": 9.090593428863096, ""volume"": 95.2737284529861}}"
