method,fold,fwd_horizon,threshold_strong_sell,threshold_sell,threshold_buy,threshold_strong_buy,metadata
topsis_action,1,6,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.5620437956204379, ""mean_utility"": 0.009307465599045979, ""n"": 411.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 411.0}, ""sell"": {""hit_rate"": 0.36253041362530414, ""mean_utility"": -0.011307465599045982, ""n"": 411.0}, ""strong_buy"": {""hit_rate"": 0.5620437956204379, ""mean_utility"": 0.009307465599045979, ""n"": 411.0}, ""strong_sell"": {""hit_rate"": 0.36253041362530414, ""mean_utility"": -0.011307465599045982, ""n"": 411.0}}, ""hold"": {""buy"": {""hit_rate"": 0.5205479452054794, ""mean_utility"": 0.007970520172585042, ""n"": 73.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 73.0}, ""sell"": {""hit_rate"": 0.3835616438356164, ""mean_utility"": -0.009970520172585044, ""n"": 73.0}, ""strong_buy"": {""hit_rate"": 0.5205479452054794, ""mean_utility"": 0.007970520172585042, ""n"": 73.0}, ""strong_sell"": {""hit_rate"": 0.3835616438356164, ""mean_utility"": -0.009970520172585044, ""n"": 73.0}}, ""sell"": {""buy"": {""hit_rate"": 0.548936170212766, ""mean_utility"": 0.0053860757159147855, ""n"": 235.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 235.0}, ""sell"": {""hit_rate"": 0.3659574468085106, ""mean_utility"": -0.007386075715914787, ""n"": 235.0}, ""strong_buy"": {""hit_rate"": 0.548936170212766, ""mean_utility"": 0.0053860757159147855, ""n"": 235.0}, ""strong_sell"": {""hit_rate"": 0.3659574468085106, ""mean_utility"": -0.007386075715914787, ""n"": 235.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.5260115606936416, ""mean_utility"": 0.006553004745589182, ""n"": 346.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 346.0}, ""sell"": {""hit_rate"": 0.3872832369942196, ""mean_utility"": -0.008553004745589182, ""n"": 346.0}, ""strong_buy"": {""hit_rate"": 0.5260115606936416, ""mean_utility"": 0.006553004745589182, ""n"": 346.0}, ""strong_sell"": {""hit_rate"": 0.3872832369942196, ""mean_utility"": -0.008553004745589182, ""n"": 346.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.48484848484848486, ""mean_utility"": 0.00016710465924666944, ""n"": 132.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 132.0}, ""sell"": {""hit_rate"": 0.4166666666666667, ""mean_utility"": -0.002167104659246671, ""n"": 132.0}, ""strong_buy"": {""hit_rate"": 0.48484848484848486, ""mean_utility"": 0.00016710465924666944, ""n"": 132.0}, ""strong_sell"": {""hit_rate"": 0.4166666666666667, ""mean_utility"": -0.002167104659246671, ""n"": 132.0}}}}"
ahp_topsis_prior,1,6,-80.0,-67.999139,-30.0,-23.772758,"{""criteria"": [[0.038543447718278515, 0.7513014998231388, 0.004323162485733557, 0.0, 0.9373433583959899], [0.0024253535242032506, 0.045913041327124635, 0.0, 0.0, 0.9807852965747702], [0.05002169391800235, 0.8734301799603581, 0.0010414166298523724, 0.0, 0.2046783625730994], [0.05657145821176205, 1.0362349725762052, 0.007560420306944002, 1.0, 0.8830409356725146]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,2,6,-50.0,-15.0,15.0,50.0,{}
threshold_optimized,2,6,-80.0,-75.0,-60.0,-50.0,{}
ridge_linear,2,6,-80.0,30.0,53.153293,56.039678,"{""feature_means"": {""momentum"": 13.044871794871796, ""oscillation"": -9.134615384615385, ""tendance"": 14.038461538461538, ""volume"": 22.275641025641026}, ""feature_stds"": {""momentum"": 98.0238617567249, ""oscillation"": 38.85238113325702, ""tendance"": 95.1805224509899, ""volume"": 90.86804138475698}}"
isotonic_calibrated,2,6,-50.0,-15.0,15.0,50.0,"{""increasing"": false, ""x_thresholds"": [-100.0, 50.0, 66.66666666666667, 75.0, 100.0], ""y_thresholds"": [0.004723233415121072, 0.004723233415121072, 0.00401065605833368, 0.00401065605833368, -0.020576826628268936]}"
topsis_category,2,6,-80.0,-60.0,-42.58329,-30.0,"{""criteria"": [[0.01515866768082326, 0.46919704323101896, 0.0018188815043000787, 0.0, 0.9256410256410257], [0.025616120965260405, 0.7527521631527506, 0.0, 1.0, 0.9778846153846154], [0.0062895843324359, 0.18223461703599708, 0.0001805532694359839, 0.0, 0.15929487179487178], [0.006761342758109602, 0.19983451455402376, 0.0019093422743939443, 0.0, 0.8753205128205128]], ""criteria_weights"": ""equal""}"
topsis_action,2,6,-50.0,-15.0,15.0,50.0,"{""bucket_action_stats"": {""buy"": {""buy"": {""hit_rate"": 0.5190918472652218, ""mean_utility"": 0.00526979324914487, ""n"": 969.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 969.0}, ""sell"": {""hit_rate"": 0.41279669762641896, ""mean_utility"": -0.0072697932491448715, ""n"": 969.0}, ""strong_buy"": {""hit_rate"": 0.5190918472652218, ""mean_utility"": 0.00526979324914487, ""n"": 969.0}, ""strong_sell"": {""hit_rate"": 0.41279669762641896, ""mean_utility"": -0.0072697932491448715, ""n"": 969.0}}, ""hold"": {""buy"": {""hit_rate"": 0.5207373271889401, ""mean_utility"": 0.0035874874619771036, ""n"": 217.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 217.0}, ""sell"": {""hit_rate"": 0.39631336405529954, ""mean_utility"": -0.005587487461977105, ""n"": 217.0}, ""strong_buy"": {""hit_rate"": 0.5207373271889401, ""mean_utility"": 0.0035874874619771036, ""n"": 217.0}, ""strong_sell"": {""hit_rate"": 0.39631336405529954, ""mean_utility"": -0.005587487461977105, ""n"": 217.0}}, ""sell"": {""buy"": {""hit_rate"": 0.5337954939341422, ""mean_utility"": 0.003999115098391109, ""n"": 577.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 577.0}, ""sell"": {""hit_rate"": 0.3951473136915078, ""mean_utility"": -0.005999115098391111, ""n"": 577.0}, ""strong_buy"": {""hit_rate"": 0.5337954939341422, ""mean_utility"": 0.003999115098391109, ""n"": 577.0}, ""strong_sell"": {""hit_rate"": 0.3951473136915078, ""mean_utility"": -0.005999115098391111, ""n"": 577.0}}, ""strong_buy"": {""buy"": {""hit_rate"": 0.4890038809831824, ""mean_utility"": 0.002279075072833209, ""n"": 773.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 773.0}, ""sell"": {""hit_rate"": 0.4372574385510996, ""mean_utility"": -0.00427907507283321, ""n"": 773.0}, ""strong_buy"": {""hit_rate"": 0.4890038809831824, ""mean_utility"": 0.002279075072833209, ""n"": 773.0}, ""strong_sell"": {""hit_rate"": 0.4372574385510996, ""mean_utility"": -0.00427907507283321, ""n"": 773.0}}, ""strong_sell"": {""buy"": {""hit_rate"": 0.5188356164383562, ""mean_utility"": 0.0009349742737107447, ""n"": 584.0}, ""hold"": {""hit_rate"": 0.0, ""mean_utility"": 0.0, ""n"": 584.0}, ""sell"": {""hit_rate"": 0.4366438356164384, ""mean_utility"": -0.0029349742737107463, ""n"": 584.0}, ""strong_buy"": {""hit_rate"": 0.5188356164383562, ""mean_utility"": 0.0009349742737107447, ""n"": 584.0}, ""strong_sell"": {""hit_rate"": 0.4366438356164384, ""mean_utility"": -0.0029349742737107463, ""n"": 584.0}}}}"
ahp_topsis_prior,2,6,-80.0,-60.0,-50.0,-44.344018,"{""criteria"": [[0.01515866768082326, 0.46919704323101896, 0.0018188815043000787, 0.0, 0.9256410256410257], [0.025616120965260405, 0.7527521631527506, 0.0, 1.0, 0.9778846153846154], [0.0062895843324359, 0.18223461703599708, 0.0001805532694359839, 0.0, 0.15929487179487178], [0.006761342758109602, 0.19983451455402376, 0.0019093422743939443, 0.0, 0.8753205128205128]], ""criteria_weights"": [0.45, 0.2, 0.2, 0.1, 0.05]}"
baseline_fixed,3,6,-50.0,-15.0,15.0,50.0,{}
