symbol,statement_year,metric_name,n_distinct_values,min_value,max_value,ratio_max_min,sources_involved,classification,n_raw_rows
CSR,2021,NetIncome,2,763000000.0,764000000.0,1.001310615989515,bvc;stockanalysis,E_source_disagreement,2
CSR,2021,Revenue,2,9112500000.0,11785000000.0,1.293278463648834,bvc;stockanalysis,E_source_disagreement,2
CSR,2021,Total_Debt,2,1124000000.0,1124400000.0,1.000355871886121,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2021,Total_Equity,2,5419000000.0,5419400000.0,1.0000738143568924,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2022,EBITDA,2,1721000000.0,1721300000.0,1.0001743172574085,bvc;stockanalysis;workbook,B_harmless_equivalent,5
CSR,2022,NetIncome,2,825900000.0,826600000.0,1.0008475602373168,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2022,Revenue,2,10432900000.0,10433000000.0,1.0000095850626385,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2022,Total_Debt,2,1353700000.0,1354000000.0,1.0002216148334195,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2022,Total_Equity,2,5623900000.0,5624000000.0,1.000017781255001,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2023,EBITDA,2,1825600000.0,1826000000.0,1.000219106047327,bvc;stockanalysis;workbook,B_harmless_equivalent,6
CSR,2023,NetIncome,2,1009000000.0,1009200000.0,1.0001982160555005,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2023,Revenue,2,10233000000.0,10233100000.0,1.0000097723052868,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2023,Total_Debt,2,2329000000.0,2329400000.0,1.0001717475311291,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2023,Total_Equity,2,5985100000.0,5992000000.0,1.0011528629429751,bvc;stockanalysis,E_source_disagreement,2
CSR,2024,EBITDA,2,1693000000.0,1757000000.0,1.0378027170702895,bvc;stockanalysis;workbook,E_source_disagreement,6
CSR,2024,EnterpriseValue,2,19569472171.5,20115172171.5,1.027885269220226,workbook,E_source_disagreement,4
CSR,2024,Revenue,2,10238600000.0,10239000000.0,1.0000390678413065,bvc;stockanalysis,B_harmless_equivalent,2
CSR,2024,Total_Equity,2,5878500000.0,5886000000.0,1.0012758356723654,bvc;stockanalysis,E_source_disagreement,2
CSR,2025,EBITDA,4,1298000000.0,1678000000.0,1.2927580893682589,bvc;stockanalysis;workbook,E_source_disagreement,6
CSR,2025,EnterpriseValue,2,21354094318.0,22064994318.0,1.0332910396204797,workbook,E_source_disagreement,4
