sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue
before_repair_reconstructed,book_to_market,Book equity / market cap,1m,61,2483,0.07991567354359899,0.0426576923398209,0.28255062357262706,0.5573770491803278,2.3399538948267025,0.01928612057450696
before_repair_reconstructed,book_to_market,Book equity / market cap,3m,59,2349,0.131871102850768,0.12158110873601292,0.23178583548438178,0.7796610169491526,3.585581710973127,0.00033632767301328137
before_repair_reconstructed,book_to_market,Book equity / market cap,6m,56,2148,0.18033245811471493,0.22173117722384966,0.2281217260033547,0.8035714285714286,3.7716071817031502,0.0001621994593141718
before_repair_reconstructed,book_to_market,Book equity / market cap,12m,50,1757,0.35329592257696424,0.3074436178317096,0.3020813753136265,0.88,3.26767383587856,0.001084352515327236
after_repair_actual,book_to_market,Book equity / market cap,1m,61,2483,0.06951447650489789,0.03823612141814258,0.26166748959710534,0.5737704918032787,2.1835116226655815,0.028998153984417963
after_repair_actual,book_to_market,Book equity / market cap,3m,59,2349,0.1271696295331132,0.12158110873601292,0.22775099538496324,0.7796610169491526,3.5060582598600614,0.00045479566025097284
after_repair_actual,book_to_market,Book equity / market cap,6m,56,2148,0.1701959809032382,0.20964492809567647,0.22513745581805947,0.75,3.4506678305561764,0.0005592013581536825
after_repair_actual,book_to_market,Book equity / market cap,12m,50,1757,0.36392963704310183,0.31861249218960197,0.3089446628688589,0.88,3.2781853154269647,0.001044767819095016
