symbol,statement_year,old_enterprise_value,import_id,market_cap_used,net_debt_used,new_enterprise_value,status
ADI,2021,2300889000.0,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,816000000.0,2301000000.0,3117000000.0,repaired
ADI,2021,2300889000.0,485e070c-e4f0-4d58-b133-e578434990f8,816000000.0,2301000000.0,3117000000.0,repaired
ADI,2021,2300889000.0,7b152ba5-1402-4d99-9ccb-d02c3893eef7,816000000.0,2301000000.0,3117000000.0,repaired
ADI,2021,2300889000.0,948a355d-1586-40ff-9998-91d21fa3abb2,816000000.0,2301000000.0,3117000000.0,repaired
ADI,2021,2300889000.0,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,816000000.0,2301000000.0,3117000000.0,repaired
ADI,2021,2300889000.0,485e070c-e4f0-4d58-b133-e578434990f8,816000000.0,2301000000.0,3117000000.0,repaired
ADI,2021,2300889000.0,7b152ba5-1402-4d99-9ccb-d02c3893eef7,816000000.0,2301000000.0,3117000000.0,repaired
ADI,2021,2300889000.0,948a355d-1586-40ff-9998-91d21fa3abb2,816000000.0,2301000000.0,3117000000.0,repaired
AFI,2022,4001983.84,948a355d-1586-40ff-9998-91d21fa3abb2,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,485e070c-e4f0-4d58-b133-e578434990f8,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,7b152ba5-1402-4d99-9ccb-d02c3893eef7,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,948a355d-1586-40ff-9998-91d21fa3abb2,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,485e070c-e4f0-4d58-b133-e578434990f8,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,7b152ba5-1402-4d99-9ccb-d02c3893eef7,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,948a355d-1586-40ff-9998-91d21fa3abb2,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,485e070c-e4f0-4d58-b133-e578434990f8,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,7b152ba5-1402-4d99-9ccb-d02c3893eef7,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,948a355d-1586-40ff-9998-91d21fa3abb2,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,485e070c-e4f0-4d58-b133-e578434990f8,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,7b152ba5-1402-4d99-9ccb-d02c3893eef7,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,948a355d-1586-40ff-9998-91d21fa3abb2,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,485e070c-e4f0-4d58-b133-e578434990f8,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,7b152ba5-1402-4d99-9ccb-d02c3893eef7,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,948a355d-1586-40ff-9998-91d21fa3abb2,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,485e070c-e4f0-4d58-b133-e578434990f8,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,7b152ba5-1402-4d99-9ccb-d02c3893eef7,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,948a355d-1586-40ff-9998-91d21fa3abb2,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,41f6f31f-1c7d-4d44-b9c9-0f8b96d7f24f,99000000.0,4000000.0,103000000.0,repaired
AFI,2022,4001983.84,485e070c-e4f0-4d58-b133-e578434990f8,99000000.0,4000000.0,103000000.0,repaired
